"datetime","date","cphyll-i-subdaily-ugpL","epoch"
"2019-02-10 03:00:26","2019-02-10",4.1,1549767626000
"2019-02-10 04:00:26","2019-02-10",4.21,1549771226000
"2019-02-10 05:00:26","2019-02-10",4.27,1549774826000
"2019-02-10 06:00:26","2019-02-10",4.41,1549778426000
"2019-02-10 07:00:26","2019-02-10",4.12,1549782026000
"2019-02-10 08:00:26","2019-02-10",4.47,1549785626000
"2019-02-10 09:00:26","2019-02-10",5.44,1549789226000
"2019-02-10 10:00:26","2019-02-10",3.18,1549792826000
"2019-02-10 11:00:26","2019-02-10",3.38,1549796426000
"2019-02-10 12:00:26","2019-02-10",5.42,1549800026000
"2019-02-10 13:00:26","2019-02-10",4.84,1549803626000
"2019-02-10 14:00:26","2019-02-10",4.54,1549807226000
"2019-02-10 15:00:26","2019-02-10",4.64,1549810826000
"2019-02-10 16:00:26","2019-02-10",4.53,1549814426000
"2019-02-10 17:00:26","2019-02-10",4.88,1549818026000
"2019-02-10 18:00:26","2019-02-10",5.57,1549821626000
"2019-02-10 19:00:26","2019-02-10",4.52,1549825226000
"2019-02-10 20:00:26","2019-02-10",4.58,1549828826000
"2019-02-10 21:00:26","2019-02-10",3.92,1549832426000
"2019-02-10 22:00:26","2019-02-10",5.19,1549836026000
"2019-02-10 23:00:26","2019-02-10",5.45,1549839626000
"2019-02-11 00:00:26","2019-02-11",4.42,1549843226000
"2019-02-11 01:00:26","2019-02-11",4.96,1549846826000
"2019-02-11 02:00:26","2019-02-11",4.33,1549850426000
"2019-02-11 03:00:26","2019-02-11",4.45,1549854026000
"2019-02-11 04:00:26","2019-02-11",4.21,1549857626000
"2019-02-11 05:00:26","2019-02-11",4.72,1549861226000
"2019-02-11 06:00:26","2019-02-11",4.02,1549864826000
"2019-02-11 07:00:26","2019-02-11",4.09,1549868426000
"2019-02-11 08:00:26","2019-02-11",4.17,1549872026000
"2019-02-11 09:00:26","2019-02-11",4.11,1549875626000
"2019-02-11 10:00:26","2019-02-11",4.52,1549879226000
"2019-02-11 11:00:26","2019-02-11",3.97,1549882826000
"2019-02-11 12:00:26","2019-02-11",4.32,1549886426000
"2019-02-11 13:00:26","2019-02-11",4.14,1549890026000
"2019-02-11 14:00:26","2019-02-11",3.94,1549893626000
"2019-02-11 15:00:26","2019-02-11",3.44,1549897226000
"2019-02-11 16:00:26","2019-02-11",3.85,1549900826000
"2019-02-11 17:00:26","2019-02-11",4.21,1549904426000
"2019-02-11 18:00:26","2019-02-11",4.4,1549908026000
"2019-02-11 19:00:26","2019-02-11",4.11,1549911626000
"2019-02-11 20:00:26","2019-02-11",3.99,1549915226000
"2019-02-11 21:00:26","2019-02-11",4.18,1549918826000
"2019-02-11 22:00:26","2019-02-11",3.6,1549922426000
"2019-02-11 23:00:26","2019-02-11",3.87,1549926026000
"2019-02-12 00:00:26","2019-02-12",3.97,1549929626000
"2019-02-12 01:00:26","2019-02-12",4.1,1549933226000
"2019-02-12 02:00:26","2019-02-12",4.03,1549936826000
"2019-02-12 03:00:26","2019-02-12",3.71,1549940426000
"2019-02-12 04:00:26","2019-02-12",3.72,1549944026000
"2019-02-12 05:00:26","2019-02-12",3.89,1549947626000
"2019-02-12 06:00:26","2019-02-12",3.81,1549951226000
"2019-02-12 07:00:26","2019-02-12",3.67,1549954826000
"2019-02-12 08:00:26","2019-02-12",3.53,1549958426000
"2019-02-12 09:00:26","2019-02-12",3.55,1549962026000
"2019-02-12 10:00:26","2019-02-12",3.69,1549965626000
"2019-02-12 11:00:26","2019-02-12",3.8,1549969226000
"2019-02-12 12:00:26","2019-02-12",3.84,1549972826000
"2019-02-12 13:00:26","2019-02-12",3.97,1549976426000
"2019-02-12 14:00:26","2019-02-12",3.91,1549980026000
"2019-02-12 15:00:26","2019-02-12",3.55,1549983626000
"2019-02-12 16:00:26","2019-02-12",4.16,1549987226000
"2019-02-12 17:00:26","2019-02-12",3.91,1549990826000
"2019-02-12 18:00:26","2019-02-12",3.59,1549994426000
"2019-02-12 19:00:26","2019-02-12",3.54,1549998026000
"2019-02-12 20:00:26","2019-02-12",3.63,1550001626000
"2019-02-12 21:00:26","2019-02-12",3.37,1550005226000
"2019-02-12 22:00:26","2019-02-12",3.54,1550008826000
"2019-02-12 23:00:26","2019-02-12",3.63,1550012426000
"2019-02-13 00:00:26","2019-02-13",3.6,1550016026000
"2019-02-13 01:00:26","2019-02-13",3.47,1550019626000
"2019-02-13 02:00:26","2019-02-13",3.43,1550023226000
"2019-02-13 03:00:26","2019-02-13",3.26,1550026826000
"2019-02-13 04:00:26","2019-02-13",3.51,1550030426000
"2019-02-13 05:00:26","2019-02-13",3.39,1550034026000
"2019-02-13 06:00:26","2019-02-13",3.16,1550037626000
"2019-02-13 07:00:26","2019-02-13",3.33,1550041226000
"2019-02-13 08:00:26","2019-02-13",3.33,1550044826000
"2019-02-13 09:00:26","2019-02-13",3.59,1550048426000
"2019-02-13 10:00:26","2019-02-13",3.31,1550052026000
"2019-02-13 11:00:26","2019-02-13",3.36,1550055626000
"2019-02-13 12:00:26","2019-02-13",3.29,1550059226000
"2019-02-13 13:00:26","2019-02-13",3.17,1550062826000
"2019-02-13 14:00:26","2019-02-13",3.56,1550066426000
"2019-02-13 15:00:26","2019-02-13",3.55,1550070026000
"2019-02-13 16:00:26","2019-02-13",3.33,1550073626000
"2019-02-13 17:00:26","2019-02-13",3.46,1550077226000
"2019-02-13 19:00:26","2019-02-13",3.57,1550084426000
"2019-02-13 20:00:26","2019-02-13",3.35,1550088026000
"2019-02-13 21:00:26","2019-02-13",3.16,1550091626000
"2019-02-13 22:00:26","2019-02-13",3.39,1550095226000
"2019-02-13 23:00:26","2019-02-13",3.21,1550098826000
"2019-02-14 00:00:26","2019-02-14",3.1,1550102426000
"2019-02-14 01:00:26","2019-02-14",3.22,1550106026000
"2019-02-14 02:00:26","2019-02-14",3.38,1550109626000
"2019-02-14 03:00:26","2019-02-14",3.36,1550113226000
"2019-02-14 04:00:26","2019-02-14",3.19,1550116826000
"2019-02-14 05:00:26","2019-02-14",3.03,1550120426000
"2019-02-14 07:00:26","2019-02-14",3.27,1550127626000
"2019-02-14 08:00:26","2019-02-14",3.37,1550131226000
"2019-02-14 09:00:26","2019-02-14",3.2,1550134826000
"2019-02-14 10:00:26","2019-02-14",3.28,1550138426000
"2019-02-14 11:00:26","2019-02-14",3.24,1550142026000
"2019-02-14 12:00:26","2019-02-14",3.17,1550145626000
"2019-02-14 13:00:26","2019-02-14",3.18,1550149226000
"2019-02-14 14:00:26","2019-02-14",3.06,1550152826000
"2019-02-14 15:00:26","2019-02-14",3.1,1550156426000
"2019-02-14 16:00:26","2019-02-14",3.0,1550160026000
"2019-02-14 17:00:26","2019-02-14",2.92,1550163626000
"2019-02-14 18:00:26","2019-02-14",3.0,1550167226000
"2019-02-14 19:00:26","2019-02-14",3.03,1550170826000
