"datetime","date","flow-i-900-m3s-qualified","epoch"
"2019-01-02 00:00:00","2019-01-02",38.1,1546387200000
"2019-01-02 00:15:00","2019-01-02",37.9,1546388100000
"2019-01-02 00:30:00","2019-01-02",37.9,1546389000000
"2019-01-02 00:45:00","2019-01-02",37.8,1546389900000
"2019-01-02 01:00:00","2019-01-02",37.8,1546390800000
"2019-01-02 01:15:00","2019-01-02",37.5,1546391700000
"2019-01-02 01:30:00","2019-01-02",37.7,1546392600000
"2019-01-02 01:45:00","2019-01-02",37.6,1546393500000
"2019-01-02 02:00:00","2019-01-02",37.7,1546394400000
"2019-01-02 02:15:00","2019-01-02",37.4,1546395300000
"2019-01-02 02:30:00","2019-01-02",37.6,1546396200000
"2019-01-02 02:45:00","2019-01-02",37.7,1546397100000
"2019-01-02 03:00:00","2019-01-02",37.5,1546398000000
"2019-01-02 03:15:00","2019-01-02",37.6,1546398900000
"2019-01-02 03:30:00","2019-01-02",37.5,1546399800000
"2019-01-02 03:45:00","2019-01-02",37.4,1546400700000
"2019-01-02 04:00:00","2019-01-02",37.2,1546401600000
"2019-01-02 04:15:00","2019-01-02",37.0,1546402500000
"2019-01-02 04:30:00","2019-01-02",37.5,1546403400000
"2019-01-02 04:45:00","2019-01-02",37.3,1546404300000
"2019-01-02 05:00:00","2019-01-02",37.5,1546405200000
"2019-01-02 05:15:00","2019-01-02",37.1,1546406100000
"2019-01-02 05:30:00","2019-01-02",37.3,1546407000000
"2019-01-02 05:45:00","2019-01-02",37.1,1546407900000
"2019-01-02 06:00:00","2019-01-02",37.1,1546408800000
"2019-01-02 06:15:00","2019-01-02",37.1,1546409700000
"2019-01-02 06:30:00","2019-01-02",36.9,1546410600000
"2019-01-02 06:45:00","2019-01-02",37.2,1546411500000
"2019-01-02 07:00:00","2019-01-02",37.1,1546412400000
"2019-01-02 07:15:00","2019-01-02",37.0,1546413300000
"2019-01-02 07:30:00","2019-01-02",36.8,1546414200000
"2019-01-02 07:45:00","2019-01-02",37.0,1546415100000
"2019-01-02 08:00:00","2019-01-02",36.9,1546416000000
"2019-01-02 08:15:00","2019-01-02",36.9,1546416900000
"2019-01-02 08:30:00","2019-01-02",36.8,1546417800000
"2019-01-02 08:45:00","2019-01-02",36.8,1546418700000
"2019-01-02 09:00:00","2019-01-02",36.8,1546419600000
"2019-01-02 09:15:00","2019-01-02",36.8,1546420500000
"2019-01-02 09:30:00","2019-01-02",36.5,1546421400000
"2019-01-02 09:45:00","2019-01-02",36.8,1546422300000
"2019-01-02 10:00:00","2019-01-02",36.5,1546423200000
"2019-01-02 10:15:00","2019-01-02",36.5,1546424100000
"2019-01-02 10:30:00","2019-01-02",36.7,1546425000000
"2019-01-02 10:45:00","2019-01-02",36.8,1546425900000
"2019-01-02 11:00:00","2019-01-02",36.5,1546426800000
"2019-01-02 11:15:00","2019-01-02",37.5,1546427700000
"2019-01-02 11:30:00","2019-01-02",36.3,1546428600000
