"datetime","date","flow-i-900-m3s-qualified","epoch"
"2019-01-02 22:15:00","2019-01-02",41.2,1546467300000
"2019-01-02 22:30:00","2019-01-02",41.3,1546468200000
"2019-01-02 22:45:00","2019-01-02",40.9,1546469100000
"2019-01-02 23:00:00","2019-01-02",41.3,1546470000000
"2019-01-02 23:15:00","2019-01-02",40.9,1546470900000
"2019-01-02 23:30:00","2019-01-02",41.4,1546471800000
"2019-01-02 23:45:00","2019-01-02",41.4,1546472700000
"2019-01-03 00:00:00","2019-01-03",41.5,1546473600000
"2019-01-03 00:15:00","2019-01-03",41.0,1546474500000
"2019-01-03 00:30:00","2019-01-03",41.6,1546475400000
"2019-01-03 00:45:00","2019-01-03",41.5,1546476300000
"2019-01-03 01:00:00","2019-01-03",42.2,1546477200000
"2019-01-03 01:15:00","2019-01-03",42.3,1546478100000
"2019-01-03 01:30:00","2019-01-03",42.0,1546479000000
"2019-01-03 01:45:00","2019-01-03",42.7,1546479900000
"2019-01-03 02:00:00","2019-01-03",42.2,1546480800000
"2019-01-03 02:15:00","2019-01-03",42.3,1546481700000
"2019-01-03 02:30:00","2019-01-03",42.1,1546482600000
"2019-01-03 02:45:00","2019-01-03",42.3,1546483500000
"2019-01-03 03:00:00","2019-01-03",42.2,1546484400000
"2019-01-03 03:15:00","2019-01-03",41.5,1546485300000
"2019-01-03 03:30:00","2019-01-03",42.3,1546486200000
"2019-01-03 03:45:00","2019-01-03",42.2,1546487100000
"2019-01-03 04:00:00","2019-01-03",42.1,1546488000000
"2019-01-03 04:15:00","2019-01-03",42.2,1546488900000
"2019-01-03 04:30:00","2019-01-03",41.9,1546489800000
"2019-01-03 04:45:00","2019-01-03",42.3,1546490700000
"2019-01-03 05:00:00","2019-01-03",41.8,1546491600000
"2019-01-03 05:15:00","2019-01-03",42.0,1546492500000
"2019-01-03 05:30:00","2019-01-03",41.8,1546493400000
"2019-01-03 05:45:00","2019-01-03",42.0,1546494300000
"2019-01-03 06:00:00","2019-01-03",41.7,1546495200000
"2019-01-03 06:15:00","2019-01-03",40.9,1546496100000
