"datetime","date","cond-i-subdaily-uS","epoch"
"2022-02-19 19:01:11","2022-02-19",616.39,1645297271000
"2022-02-19 20:01:11","2022-02-19",616.85,1645300871000
"2022-02-19 21:01:11","2022-02-19",617.43,1645304471000
"2022-02-19 22:01:11","2022-02-19",618.16,1645308071000
"2022-02-19 23:01:11","2022-02-19",618.92,1645311671000
"2022-02-20 00:01:11","2022-02-20",620.26,1645315271000
"2022-02-20 01:01:11","2022-02-20",622.15,1645318871000
"2022-02-20 02:01:11","2022-02-20",623.58,1645322471000
"2022-02-20 03:01:11","2022-02-20",623.37,1645326071000
"2022-02-20 04:01:11","2022-02-20",622.12,1645329671000
"2022-02-20 05:01:11","2022-02-20",621.45,1645333271000
"2022-02-20 06:01:11","2022-02-20",621.81,1645336871000
"2022-02-20 07:01:11","2022-02-20",622.03,1645340471000
"2022-02-20 08:01:11","2022-02-20",621.53,1645344071000
"2022-02-20 09:01:11","2022-02-20",620.55,1645347671000
"2022-02-20 10:01:11","2022-02-20",619.34,1645351271000
"2022-02-20 11:01:11","2022-02-20",618.39,1645354871000
"2022-02-20 12:01:11","2022-02-20",618.92,1645358471000
"2022-02-20 13:01:11","2022-02-20",618.58,1645362071000
"2022-02-20 14:01:11","2022-02-20",617.73,1645365671000
"2022-02-20 15:01:11","2022-02-20",617.64,1645369271000
"2022-02-20 16:01:11","2022-02-20",617.52,1645372871000
"2022-02-20 17:01:11","2022-02-20",616.84,1645376471000
"2022-02-20 18:01:11","2022-02-20",615.0,1645380071000
"2022-02-20 19:01:11","2022-02-20",596.04,1645383671000
"2022-02-20 20:01:11","2022-02-20",600.31,1645387271000
"2022-02-20 21:01:11","2022-02-20",599.79,1645390871000
"2022-02-20 22:01:11","2022-02-20",604.92,1645394471000
"2022-02-20 23:01:11","2022-02-20",605.2,1645398071000
"2022-02-21 00:01:11","2022-02-21",604.83,1645401671000
"2022-02-21 01:01:11","2022-02-21",604.57,1645405271000
"2022-02-21 02:01:11","2022-02-21",604.96,1645408871000
"2022-02-21 03:01:11","2022-02-21",605.99,1645412471000
"2022-02-21 04:01:11","2022-02-21",606.5,1645416071000
"2022-02-21 05:01:11","2022-02-21",603.21,1645419671000
"2022-02-21 06:01:11","2022-02-21",598.88,1645423271000
"2022-02-21 07:01:11","2022-02-21",594.28,1645426871000
"2022-02-21 08:01:11","2022-02-21",591.53,1645430471000
"2022-02-21 09:01:11","2022-02-21",590.0,1645434071000
"2022-02-21 10:01:11","2022-02-21",587.33,1645437671000
"2022-02-21 11:01:11","2022-02-21",582.82,1645441271000
"2022-02-21 12:01:11","2022-02-21",579.71,1645444871000
"2022-02-21 13:01:11","2022-02-21",578.56,1645448471000
"2022-02-21 14:01:11","2022-02-21",579.17,1645452071000
"2022-02-21 15:01:11","2022-02-21",580.03,1645455671000
"2022-02-21 16:01:11","2022-02-21",580.69,1645459271000
"2022-02-21 17:01:11","2022-02-21",580.4,1645462871000
"2022-02-21 18:01:11","2022-02-21",579.34,1645466471000
"2022-02-21 19:01:11","2022-02-21",578.48,1645470071000
"2022-02-21 20:01:11","2022-02-21",578.21,1645473671000
"2022-02-21 21:01:11","2022-02-21",578.28,1645477271000
"2022-02-21 22:01:11","2022-02-21",577.72,1645480871000
"2022-02-21 23:01:11","2022-02-21",577.34,1645484471000
"2022-02-22 00:01:11","2022-02-22",577.04,1645488071000
"2022-02-22 01:01:11","2022-02-22",577.12,1645491671000
"2022-02-22 02:01:11","2022-02-22",577.35,1645495271000
"2022-02-22 03:01:11","2022-02-22",577.82,1645498871000
"2022-02-22 04:01:11","2022-02-22",578.03,1645502471000
"2022-02-22 05:01:11","2022-02-22",577.79,1645506071000
"2022-02-22 06:01:11","2022-02-22",577.05,1645509671000
"2022-02-22 07:01:11","2022-02-22",575.68,1645513271000
"2022-02-22 08:01:11","2022-02-22",574.59,1645516871000
"2022-02-22 09:01:11","2022-02-22",573.58,1645520471000
"2022-02-22 10:01:11","2022-02-22",573.46,1645524071000
"2022-02-22 11:01:11","2022-02-22",573.09,1645527671000
"2022-02-22 12:01:11","2022-02-22",572.27,1645531271000
"2022-02-22 13:01:11","2022-02-22",570.71,1645534871000
"2022-02-22 14:01:11","2022-02-22",568.6,1645538471000
"2022-02-22 15:01:11","2022-02-22",567.09,1645542071000
"2022-02-22 16:01:11","2022-02-22",565.55,1645545671000
"2022-02-22 17:01:11","2022-02-22",564.19,1645549271000
"2022-02-22 18:01:11","2022-02-22",562.97,1645552871000
"2022-02-22 19:01:11","2022-02-22",561.37,1645556471000
"2022-02-22 20:01:11","2022-02-22",559.66,1645560071000
"2022-02-22 21:01:11","2022-02-22",557.84,1645563671000
"2022-02-22 22:01:11","2022-02-22",556.2,1645567271000
"2022-02-22 23:01:11","2022-02-22",554.72,1645570871000
"2022-02-23 00:01:11","2022-02-23",553.74,1645574471000
"2022-02-23 01:01:11","2022-02-23",553.05,1645578071000
"2022-02-23 02:01:11","2022-02-23",553.21,1645581671000
"2022-02-23 03:01:11","2022-02-23",553.42,1645585271000
"2022-02-23 04:01:11","2022-02-23",554.0,1645588871000
"2022-02-23 05:01:11","2022-02-23",554.67,1645592471000
"2022-02-23 06:01:11","2022-02-23",555.63,1645596071000
"2022-02-23 07:01:11","2022-02-23",556.53,1645599671000
"2022-02-23 08:01:11","2022-02-23",557.27,1645603271000
"2022-02-23 09:01:11","2022-02-23",558.73,1645606871000
"2022-02-23 10:01:11","2022-02-23",559.21,1645610471000
"2022-02-23 11:01:11","2022-02-23",559.72,1645614071000
"2022-02-23 12:01:11","2022-02-23",558.79,1645617671000
"2022-02-23 13:01:11","2022-02-23",558.17,1645621271000
"2022-02-23 14:01:11","2022-02-23",558.09,1645624871000
"2022-02-23 15:01:11","2022-02-23",558.88,1645628471000
"2022-02-23 16:01:11","2022-02-23",559.36,1645632071000
"2022-02-23 17:01:11","2022-02-23",559.92,1645635671000
"2022-02-23 18:01:11","2022-02-23",560.35,1645639271000
"2022-02-23 19:01:11","2022-02-23",560.79,1645642871000
"2022-02-23 20:01:11","2022-02-23",560.91,1645646471000
"2022-02-23 21:01:11","2022-02-23",561.41,1645650071000
"2022-02-23 22:01:11","2022-02-23",562.06,1645653671000
"2022-02-23 23:01:11","2022-02-23",562.41,1645657271000
"2022-02-24 00:01:11","2022-02-24",563.06,1645660871000
"2022-02-24 01:01:11","2022-02-24",563.87,1645664471000
"2022-02-24 02:01:11","2022-02-24",565.04,1645668071000
"2022-02-24 03:01:11","2022-02-24",565.58,1645671671000
"2022-02-24 04:01:11","2022-02-24",566.68,1645675271000
"2022-02-24 05:01:11","2022-02-24",569.02,1645678871000
"2022-02-24 06:01:11","2022-02-24",568.21,1645682471000
"2022-02-24 07:01:11","2022-02-24",570.79,1645686071000
"2022-02-24 08:01:11","2022-02-24",571.61,1645689671000
"2022-02-24 09:01:11","2022-02-24",573.21,1645693271000
"2022-02-24 10:01:11","2022-02-24",574.5,1645696871000
"2022-02-24 11:01:11","2022-02-24",575.82,1645700471000
