"datetime","date","do-i-subdaily-pct","epoch"
"2018-01-02 22:16:52","2018-01-02",84.0,1514931412000
"2018-01-02 22:31:52","2018-01-02",84.9,1514932312000
"2018-01-02 22:46:52","2018-01-02",85.3,1514933212000
"2018-01-02 23:01:52","2018-01-02",85.6,1514934112000
"2018-01-02 23:16:52","2018-01-02",85.3,1514935012000
"2018-01-02 23:31:52","2018-01-02",85.7,1514935912000
"2018-01-02 23:46:52","2018-01-02",86.3,1514936812000
"2018-01-03 00:01:52","2018-01-03",86.9,1514937712000
"2018-01-03 00:16:52","2018-01-03",87.6,1514938612000
"2018-01-03 00:31:52","2018-01-03",88.0,1514939512000
"2018-01-03 00:46:52","2018-01-03",88.2,1514940412000
"2018-01-03 01:01:12","2018-01-03",88.4,1514941272000
"2018-01-03 01:16:52","2018-01-03",88.8,1514942212000
"2018-01-03 01:31:51","2018-01-03",88.8,1514943111000
"2018-01-03 01:46:52","2018-01-03",89.1,1514944012000
"2018-01-03 02:01:52","2018-01-03",89.1,1514944912000
"2018-01-03 02:16:52","2018-01-03",89.4,1514945812000
"2018-01-03 02:31:51","2018-01-03",89.3,1514946711000
"2018-01-03 02:46:52","2018-01-03",89.4,1514947612000
"2018-01-03 03:01:52","2018-01-03",89.2,1514948512000
"2018-01-03 03:16:09","2018-01-03",88.6,1514949369000
"2018-01-03 03:31:52","2018-01-03",88.5,1514950312000
"2018-01-03 03:46:52","2018-01-03",88.6,1514951212000
"2018-01-03 04:01:52","2018-01-03",87.7,1514952112000
"2018-01-03 04:16:52","2018-01-03",87.3,1514953012000
"2018-01-03 04:31:52","2018-01-03",87.1,1514953912000
"2018-01-03 04:46:51","2018-01-03",86.5,1514954811000
"2018-01-03 05:01:51","2018-01-03",86.3,1514955711000
"2018-01-03 05:16:51","2018-01-03",85.9,1514956611000
"2018-01-03 05:31:51","2018-01-03",85.7,1514957511000
"2018-01-03 05:46:52","2018-01-03",85.5,1514958412000
"2018-01-03 06:01:51","2018-01-03",85.3,1514959311000
"2018-01-03 06:16:52","2018-01-03",85.1,1514960212000
"2018-01-03 06:31:51","2018-01-03",85.0,1514961111000
"2018-01-03 06:46:52","2018-01-03",84.9,1514962012000
