"datetime","date","level-i-900-m-qualified","epoch"
"2021-07-13 01:30:00","2021-07-13",0.138,1626139800000
"2021-07-13 01:45:00","2021-07-13",0.138,1626140700000
"2021-07-13 02:00:00","2021-07-13",0.138,1626141600000
"2021-07-13 02:15:00","2021-07-13",0.138,1626142500000
"2021-07-13 02:30:00","2021-07-13",0.137,1626143400000
"2021-07-13 02:45:00","2021-07-13",0.137,1626144300000
"2021-07-13 03:00:00","2021-07-13",0.136,1626145200000
"2021-07-13 03:15:00","2021-07-13",0.135,1626146100000
"2021-07-13 03:30:00","2021-07-13",0.135,1626147000000
"2021-07-13 03:45:00","2021-07-13",0.134,1626147900000
"2021-07-13 04:00:00","2021-07-13",0.134,1626148800000
"2021-07-13 04:15:00","2021-07-13",0.134,1626149700000
"2021-07-13 04:30:00","2021-07-13",0.133,1626150600000
"2021-07-13 04:45:00","2021-07-13",0.131,1626151500000
"2021-07-13 05:00:00","2021-07-13",0.13,1626152400000
"2021-07-13 05:15:00","2021-07-13",0.129,1626153300000
"2021-07-13 05:30:00","2021-07-13",0.128,1626154200000
"2021-07-13 05:45:00","2021-07-13",0.128,1626155100000
"2021-07-13 06:00:00","2021-07-13",0.127,1626156000000
"2021-07-13 06:15:00","2021-07-13",0.129,1626156900000
"2021-07-13 06:30:00","2021-07-13",0.131,1626157800000
"2021-07-13 06:45:00","2021-07-13",0.132,1626158700000
"2021-07-13 07:00:00","2021-07-13",0.135,1626159600000
"2021-07-13 07:15:00","2021-07-13",0.136,1626160500000
"2021-07-13 07:30:00","2021-07-13",0.137,1626161400000
"2021-07-13 07:45:00","2021-07-13",0.14,1626162300000
"2021-07-13 08:00:00","2021-07-13",0.138,1626163200000
"2021-07-13 08:15:00","2021-07-13",0.11,1626164100000
"2021-07-13 08:30:00","2021-07-13",0.148,1626165000000
"2021-07-13 08:45:00","2021-07-13",0.13,1626165900000
"2021-07-13 09:00:00","2021-07-13",0.1,1626166800000
"2021-07-13 09:15:00","2021-07-13",-0.018,1626167700000
"2021-07-13 09:30:00","2021-07-13",0.129,1626168600000
"2021-07-13 09:45:00","2021-07-13",0.176,1626169500000
"2021-07-13 10:00:00","2021-07-13",0.098,1626170400000
"2021-07-13 10:15:00","2021-07-13",0.119,1626171300000
"2021-07-13 10:30:00","2021-07-13",0.152,1626172200000
"2021-07-13 10:45:00","2021-07-13",0.172,1626173100000
"2021-07-13 11:00:00","2021-07-13",0.131,1626174000000
"2021-07-13 11:15:00","2021-07-13",0.127,1626174900000
"2021-07-13 11:30:00","2021-07-13",0.115,1626175800000
"2021-07-13 11:45:00","2021-07-13",0.111,1626176700000
"2021-07-13 12:00:00","2021-07-13",0.148,1626177600000
"2021-07-13 12:15:00","2021-07-13",0.138,1626178500000
"2021-07-13 12:30:00","2021-07-13",0.097,1626179400000
"2021-07-13 12:45:00","2021-07-13",0.103,1626180300000
"2021-07-13 13:00:00","2021-07-13",0.12,1626181200000
"2021-07-13 13:15:00","2021-07-13",0.144,1626182100000
"2021-07-13 13:30:00","2021-07-13",0.089,1626183000000
"2021-07-13 13:45:00","2021-07-13",0.092,1626183900000
"2021-07-13 14:00:00","2021-07-13",0.114,1626184800000
"2021-07-13 14:15:00","2021-07-13",0.105,1626185700000
"2021-07-13 14:30:00","2021-07-13",0.084,1626186600000
"2021-07-13 14:45:00","2021-07-13",0.064,1626187500000
"2021-07-13 15:00:00","2021-07-13",0.094,1626188400000
"2021-07-13 15:15:00","2021-07-13",0.123,1626189300000
"2021-07-13 15:30:00","2021-07-13",0.088,1626190200000
"2021-07-13 15:45:00","2021-07-13",0.086,1626191100000
"2021-07-13 16:00:00","2021-07-13",0.086,1626192000000
"2021-07-13 16:15:00","2021-07-13",0.095,1626192900000
"2021-07-13 16:30:00","2021-07-13",0.101,1626193800000
"2021-07-13 16:45:00","2021-07-13",0.109,1626194700000
"2021-07-13 17:00:00","2021-07-13",0.129,1626195600000
"2021-07-13 17:15:00","2021-07-13",0.11,1626196500000
"2021-07-13 17:30:00","2021-07-13",0.103,1626197400000
"2021-07-13 17:45:00","2021-07-13",0.105,1626198300000
"2021-07-13 18:00:00","2021-07-13",0.132,1626199200000
"2021-07-13 18:15:00","2021-07-13",0.139,1626200100000
"2021-07-13 18:30:00","2021-07-13",0.135,1626201000000
"2021-07-13 18:45:00","2021-07-13",0.144,1626201900000
"2021-07-13 19:00:00","2021-07-13",0.134,1626202800000
"2021-07-13 19:15:00","2021-07-13",0.139,1626203700000
"2021-07-13 19:30:00","2021-07-13",0.129,1626204600000
"2021-07-13 19:45:00","2021-07-13",0.131,1626205500000
"2021-07-13 20:00:00","2021-07-13",0.122,1626206400000
"2021-07-13 20:15:00","2021-07-13",0.126,1626207300000
"2021-07-13 20:30:00","2021-07-13",0.125,1626208200000
"2021-07-13 20:45:00","2021-07-13",0.127,1626209100000
"2021-07-13 21:00:00","2021-07-13",0.129,1626210000000
"2021-07-13 21:15:00","2021-07-13",0.131,1626210900000
"2021-07-13 21:30:00","2021-07-13",0.136,1626211800000
"2021-07-13 21:45:00","2021-07-13",0.137,1626212700000
"2021-07-13 22:00:00","2021-07-13",0.139,1626213600000
"2021-07-13 22:15:00","2021-07-13",0.134,1626214500000
"2021-07-13 22:30:00","2021-07-13",0.136,1626215400000
"2021-07-13 22:45:00","2021-07-13",0.131,1626216300000
"2021-07-13 23:00:00","2021-07-13",0.127,1626217200000
"2021-07-13 23:15:00","2021-07-13",0.129,1626218100000
"2021-07-13 23:30:00","2021-07-13",0.125,1626219000000
"2021-07-13 23:45:00","2021-07-13",0.128,1626219900000
"2021-07-14 00:00:00","2021-07-14",0.127,1626220800000
"2021-07-14 00:15:00","2021-07-14",0.126,1626221700000
"2021-07-14 00:30:00","2021-07-14",0.126,1626222600000
"2021-07-14 00:45:00","2021-07-14",0.128,1626223500000
"2021-07-14 01:00:00","2021-07-14",0.129,1626224400000
"2021-07-14 01:15:00","2021-07-14",0.131,1626225300000
"2021-07-14 01:30:00","2021-07-14",0.132,1626226200000
"2021-07-14 01:45:00","2021-07-14",0.134,1626227100000
"2021-07-14 02:00:00","2021-07-14",0.136,1626228000000
"2021-07-14 02:15:00","2021-07-14",0.138,1626228900000
"2021-07-14 02:30:00","2021-07-14",0.14,1626229800000
"2021-07-14 02:45:00","2021-07-14",0.14,1626230700000
"2021-07-14 03:00:00","2021-07-14",0.14,1626231600000
"2021-07-14 03:15:00","2021-07-14",0.141,1626232500000
"2021-07-14 03:30:00","2021-07-14",0.138,1626233400000
"2021-07-14 03:45:00","2021-07-14",0.135,1626234300000
"2021-07-14 04:00:00","2021-07-14",0.136,1626235200000
"2021-07-14 04:15:00","2021-07-14",0.137,1626236100000
"2021-07-14 04:30:00","2021-07-14",0.137,1626237000000
"2021-07-14 04:45:00","2021-07-14",0.135,1626237900000
"2021-07-14 05:00:00","2021-07-14",0.135,1626238800000
"2021-07-14 05:15:00","2021-07-14",0.136,1626239700000
"2021-07-14 05:30:00","2021-07-14",0.136,1626240600000
"2021-07-14 05:45:00","2021-07-14",0.136,1626241500000
"2021-07-14 06:00:00","2021-07-14",0.137,1626242400000
"2021-07-14 06:15:00","2021-07-14",0.138,1626243300000
"2021-07-14 06:30:00","2021-07-14",0.136,1626244200000
"2021-07-14 06:45:00","2021-07-14",0.135,1626245100000
"2021-07-14 07:00:00","2021-07-14",0.131,1626246000000
"2021-07-14 07:15:00","2021-07-14",0.136,1626246900000
"2021-07-14 07:30:00","2021-07-14",0.125,1626247800000
"2021-07-14 07:45:00","2021-07-14",0.135,1626248700000
"2021-07-14 08:00:00","2021-07-14",0.133,1626249600000
"2021-07-14 08:15:00","2021-07-14",0.113,1626250500000
"2021-07-14 08:30:00","2021-07-14",0.13,1626251400000
"2021-07-14 08:45:00","2021-07-14",0.118,1626252300000
"2021-07-14 09:00:00","2021-07-14",0.111,1626253200000
"2021-07-14 09:15:00","2021-07-14",0.149,1626254100000
"2021-07-14 09:30:00","2021-07-14",0.111,1626255000000
"2021-07-14 09:45:00","2021-07-14",0.13,1626255900000
"2021-07-14 10:00:00","2021-07-14",0.144,1626256800000
"2021-07-14 10:15:00","2021-07-14",0.107,1626257700000
"2021-07-14 10:30:00","2021-07-14",0.126,1626258600000
"2021-07-14 10:45:00","2021-07-14",0.176,1626259500000
"2021-07-14 11:00:00","2021-07-14",0.127,1626260400000
"2021-07-14 11:15:00","2021-07-14",0.116,1626261300000
"2021-07-14 11:30:00","2021-07-14",0.115,1626262200000
"2021-07-14 11:45:00","2021-07-14",0.108,1626263100000
"2021-07-14 12:00:00","2021-07-14",0.129,1626264000000
"2021-07-14 12:15:00","2021-07-14",0.157,1626264900000
"2021-07-14 12:30:00","2021-07-14",0.149,1626265800000
"2021-07-14 12:45:00","2021-07-14",0.147,1626266700000
"2021-07-14 13:00:00","2021-07-14",0.135,1626267600000
"2021-07-14 13:15:00","2021-07-14",0.119,1626268500000
"2021-07-14 13:30:00","2021-07-14",0.143,1626269400000
"2021-07-14 13:45:00","2021-07-14",0.12,1626270300000
"2021-07-14 14:00:00","2021-07-14",0.133,1626271200000
"2021-07-14 14:15:00","2021-07-14",0.157,1626272100000
"2021-07-14 14:30:00","2021-07-14",0.117,1626273000000
"2021-07-14 14:45:00","2021-07-14",0.178,1626273900000
"2021-07-14 15:00:00","2021-07-14",0.149,1626274800000
"2021-07-14 15:15:00","2021-07-14",0.119,1626275700000
"2021-07-14 15:30:00","2021-07-14",0.138,1626276600000
"2021-07-14 15:45:00","2021-07-14",0.122,1626277500000
"2021-07-14 16:00:00","2021-07-14",0.12,1626278400000
"2021-07-14 16:15:00","2021-07-14",0.086,1626279300000
"2021-07-14 16:30:00","2021-07-14",0.198,1626280200000
"2021-07-14 16:45:00","2021-07-14",0.133,1626281100000
"2021-07-14 17:00:00","2021-07-14",0.203,1626282000000
"2021-07-14 17:15:00","2021-07-14",0.243,1626282900000
"2021-07-14 17:30:00","2021-07-14",0.198,1626283800000
"2021-07-14 17:45:00","2021-07-14",0.152,1626284700000
"2021-07-14 18:00:00","2021-07-14",0.145,1626285600000
"2021-07-14 18:15:00","2021-07-14",0.153,1626286500000
"2021-07-14 18:30:00","2021-07-14",0.156,1626287400000
"2021-07-14 18:45:00","2021-07-14",0.172,1626288300000
"2021-07-14 19:00:00","2021-07-14",0.172,1626289200000
"2021-07-14 19:15:00","2021-07-14",0.163,1626290100000
"2021-07-14 19:30:00","2021-07-14",0.174,1626291000000
"2021-07-14 19:45:00","2021-07-14",0.165,1626291900000
"2021-07-14 20:00:00","2021-07-14",0.161,1626292800000
"2021-07-14 20:15:00","2021-07-14",0.161,1626293700000
"2021-07-14 20:30:00","2021-07-14",0.154,1626294600000
"2021-07-14 20:45:00","2021-07-14",0.151,1626295500000
"2021-07-14 21:00:00","2021-07-14",0.16,1626296400000
"2021-07-14 21:15:00","2021-07-14",0.152,1626297300000
"2021-07-14 21:30:00","2021-07-14",0.162,1626298200000
"2021-07-14 21:45:00","2021-07-14",0.178,1626299100000
"2021-07-14 22:00:00","2021-07-14",0.169,1626300000000
"2021-07-14 22:15:00","2021-07-14",0.172,1626300900000
"2021-07-14 22:30:00","2021-07-14",0.17,1626301800000
"2021-07-14 22:45:00","2021-07-14",0.168,1626302700000
"2021-07-14 23:00:00","2021-07-14",0.164,1626303600000
"2021-07-14 23:15:00","2021-07-14",0.163,1626304500000
"2021-07-14 23:30:00","2021-07-14",0.162,1626305400000
"2021-07-14 23:45:00","2021-07-14",0.16,1626306300000
"2021-07-15 00:00:00","2021-07-15",0.157,1626307200000
"2021-07-15 00:15:00","2021-07-15",0.156,1626308100000
"2021-07-15 00:30:00","2021-07-15",0.158,1626309000000
"2021-07-15 00:45:00","2021-07-15",0.157,1626309900000
"2021-07-15 01:00:00","2021-07-15",0.156,1626310800000
"2021-07-15 01:15:00","2021-07-15",0.158,1626311700000
"2021-07-15 01:30:00","2021-07-15",0.158,1626312600000
"2021-07-15 01:45:00","2021-07-15",0.158,1626313500000
"2021-07-15 02:00:00","2021-07-15",0.16,1626314400000
"2021-07-15 02:15:00","2021-07-15",0.16,1626315300000
"2021-07-15 02:30:00","2021-07-15",0.162,1626316200000
"2021-07-15 02:45:00","2021-07-15",0.162,1626317100000
"2021-07-15 03:00:00","2021-07-15",0.162,1626318000000
"2021-07-15 03:15:00","2021-07-15",0.163,1626318900000
"2021-07-15 03:30:00","2021-07-15",0.163,1626319800000
"2021-07-15 03:45:00","2021-07-15",0.162,1626320700000
"2021-07-15 04:00:00","2021-07-15",0.164,1626321600000
"2021-07-15 04:15:00","2021-07-15",0.163,1626322500000
"2021-07-15 04:30:00","2021-07-15",0.163,1626323400000
"2021-07-15 04:45:00","2021-07-15",0.162,1626324300000
"2021-07-15 05:00:00","2021-07-15",0.162,1626325200000
"2021-07-15 05:15:00","2021-07-15",0.163,1626326100000
"2021-07-15 05:30:00","2021-07-15",0.162,1626327000000
"2021-07-15 05:45:00","2021-07-15",0.162,1626327900000
"2021-07-15 06:00:00","2021-07-15",0.161,1626328800000
"2021-07-15 06:15:00","2021-07-15",0.161,1626329700000
"2021-07-15 06:30:00","2021-07-15",0.159,1626330600000
"2021-07-15 06:45:00","2021-07-15",0.159,1626331500000
"2021-07-15 07:00:00","2021-07-15",0.157,1626332400000
"2021-07-15 07:15:00","2021-07-15",0.155,1626333300000
"2021-07-15 07:30:00","2021-07-15",0.164,1626334200000
"2021-07-15 07:45:00","2021-07-15",0.16,1626335100000
"2021-07-15 08:00:00","2021-07-15",0.159,1626336000000
"2021-07-15 08:15:00","2021-07-15",0.167,1626336900000
"2021-07-15 08:30:00","2021-07-15",0.155,1626337800000
"2021-07-15 08:45:00","2021-07-15",0.07,1626338700000
"2021-07-15 09:00:00","2021-07-15",0.16,1626339600000
"2021-07-15 09:15:00","2021-07-15",0.185,1626340500000
"2021-07-15 09:30:00","2021-07-15",0.221,1626341400000
"2021-07-15 09:45:00","2021-07-15",0.176,1626342300000
"2021-07-15 10:00:00","2021-07-15",0.149,1626343200000
"2021-07-15 10:15:00","2021-07-15",0.1,1626344100000
"2021-07-15 10:30:00","2021-07-15",0.111,1626345000000
"2021-07-15 10:45:00","2021-07-15",0.172,1626345900000
"2021-07-15 11:00:00","2021-07-15",0.169,1626346800000
"2021-07-15 11:15:00","2021-07-15",0.17,1626347700000
"2021-07-15 11:30:00","2021-07-15",0.18,1626348600000
"2021-07-15 11:45:00","2021-07-15",0.113,1626349500000
"2021-07-15 12:00:00","2021-07-15",0.16,1626350400000
"2021-07-15 12:15:00","2021-07-15",0.163,1626351300000
"2021-07-15 12:30:00","2021-07-15",0.186,1626352200000
"2021-07-15 12:45:00","2021-07-15",0.158,1626353100000
"2021-07-15 13:00:00","2021-07-15",0.149,1626354000000
"2021-07-15 13:15:00","2021-07-15",0.182,1626354900000
"2021-07-15 13:30:00","2021-07-15",0.158,1626355800000
"2021-07-15 13:45:00","2021-07-15",0.133,1626356700000
"2021-07-15 14:00:00","2021-07-15",0.159,1626357600000
"2021-07-15 14:15:00","2021-07-15",0.102,1626358500000
"2021-07-15 14:30:00","2021-07-15",0.162,1626359400000
"2021-07-15 14:45:00","2021-07-15",0.177,1626360300000
"2021-07-15 15:00:00","2021-07-15",0.14,1626361200000
"2021-07-15 15:15:00","2021-07-15",0.189,1626362100000
"2021-07-15 15:30:00","2021-07-15",0.197,1626363000000
"2021-07-15 15:45:00","2021-07-15",0.137,1626363900000
"2021-07-15 16:00:00","2021-07-15",0.167,1626364800000
"2021-07-15 16:15:00","2021-07-15",0.191,1626365700000
"2021-07-15 16:30:00","2021-07-15",0.18,1626366600000
"2021-07-15 16:45:00","2021-07-15",0.172,1626367500000
"2021-07-15 17:00:00","2021-07-15",0.17,1626368400000
"2021-07-15 17:15:00","2021-07-15",0.144,1626369300000
"2021-07-15 17:30:00","2021-07-15",0.17,1626370200000
"2021-07-15 17:45:00","2021-07-15",0.164,1626371100000
"2021-07-15 18:00:00","2021-07-15",0.171,1626372000000
"2021-07-15 18:15:00","2021-07-15",0.167,1626372900000
"2021-07-15 18:30:00","2021-07-15",0.152,1626373800000
"2021-07-15 18:45:00","2021-07-15",0.151,1626374700000
"2021-07-15 19:00:00","2021-07-15",0.158,1626375600000
"2021-07-15 19:15:00","2021-07-15",0.166,1626376500000
"2021-07-15 19:30:00","2021-07-15",0.167,1626377400000
"2021-07-15 19:45:00","2021-07-15",0.165,1626378300000
"2021-07-15 20:00:00","2021-07-15",0.187,1626379200000
"2021-07-15 20:15:00","2021-07-15",0.17,1626380100000
"2021-07-15 20:30:00","2021-07-15",0.163,1626381000000
"2021-07-15 20:45:00","2021-07-15",0.164,1626381900000
"2021-07-15 21:00:00","2021-07-15",0.163,1626382800000
"2021-07-15 21:15:00","2021-07-15",0.164,1626383700000
"2021-07-15 21:30:00","2021-07-15",0.159,1626384600000
"2021-07-15 21:45:00","2021-07-15",0.156,1626385500000
"2021-07-15 22:00:00","2021-07-15",0.155,1626386400000
"2021-07-15 22:15:00","2021-07-15",0.156,1626387300000
"2021-07-15 22:30:00","2021-07-15",0.155,1626388200000
"2021-07-15 22:45:00","2021-07-15",0.158,1626389100000
"2021-07-15 23:00:00","2021-07-15",0.16,1626390000000
"2021-07-15 23:15:00","2021-07-15",0.16,1626390900000
"2021-07-15 23:30:00","2021-07-15",0.161,1626391800000
"2021-07-15 23:45:00","2021-07-15",0.163,1626392700000
"2021-07-16 00:00:00","2021-07-16",0.164,1626393600000
"2021-07-16 00:15:00","2021-07-16",0.166,1626394500000
"2021-07-16 00:30:00","2021-07-16",0.167,1626395400000
"2021-07-16 00:45:00","2021-07-16",0.168,1626396300000
"2021-07-16 01:00:00","2021-07-16",0.169,1626397200000
"2021-07-16 01:15:00","2021-07-16",0.169,1626398100000
"2021-07-16 01:30:00","2021-07-16",0.169,1626399000000
"2021-07-16 01:45:00","2021-07-16",0.167,1626399900000
"2021-07-16 02:00:00","2021-07-16",0.168,1626400800000
"2021-07-16 02:15:00","2021-07-16",0.168,1626401700000
"2021-07-16 02:30:00","2021-07-16",0.167,1626402600000
"2021-07-16 02:45:00","2021-07-16",0.168,1626403500000
"2021-07-16 03:00:00","2021-07-16",0.167,1626404400000
"2021-07-16 03:15:00","2021-07-16",0.166,1626405300000
"2021-07-16 03:30:00","2021-07-16",0.165,1626406200000
"2021-07-16 03:45:00","2021-07-16",0.165,1626407100000
"2021-07-16 04:00:00","2021-07-16",0.165,1626408000000
"2021-07-16 04:15:00","2021-07-16",0.164,1626408900000
"2021-07-16 04:30:00","2021-07-16",0.164,1626409800000
"2021-07-16 04:45:00","2021-07-16",0.164,1626410700000
"2021-07-16 05:00:00","2021-07-16",0.164,1626411600000
"2021-07-16 05:15:00","2021-07-16",0.163,1626412500000
"2021-07-16 05:30:00","2021-07-16",0.162,1626413400000
"2021-07-16 05:45:00","2021-07-16",0.162,1626414300000
"2021-07-16 06:00:00","2021-07-16",0.163,1626415200000
"2021-07-16 06:15:00","2021-07-16",0.156,1626416100000
"2021-07-16 06:30:00","2021-07-16",0.159,1626417000000
"2021-07-16 06:45:00","2021-07-16",0.16,1626417900000
"2021-07-16 07:00:00","2021-07-16",0.161,1626418800000
"2021-07-16 07:15:00","2021-07-16",0.165,1626419700000
"2021-07-16 07:30:00","2021-07-16",0.158,1626420600000
"2021-07-16 07:45:00","2021-07-16",0.16,1626421500000
"2021-07-16 08:00:00","2021-07-16",0.158,1626422400000
"2021-07-16 08:15:00","2021-07-16",0.184,1626423300000
"2021-07-16 08:30:00","2021-07-16",0.196,1626424200000
"2021-07-16 08:45:00","2021-07-16",0.177,1626425100000
"2021-07-16 09:00:00","2021-07-16",0.128,1626426000000
"2021-07-16 09:15:00","2021-07-16",0.167,1626426900000
"2021-07-16 09:30:00","2021-07-16",0.194,1626427800000
"2021-07-16 09:45:00","2021-07-16",0.166,1626428700000
"2021-07-16 10:00:00","2021-07-16",0.183,1626429600000
"2021-07-16 10:15:00","2021-07-16",0.159,1626430500000
"2021-07-16 10:30:00","2021-07-16",0.198,1626431400000
"2021-07-16 10:45:00","2021-07-16",0.145,1626432300000
"2021-07-16 11:00:00","2021-07-16",0.158,1626433200000
"2021-07-16 11:15:00","2021-07-16",0.193,1626434100000
"2021-07-16 11:30:00","2021-07-16",0.129,1626435000000
"2021-07-16 11:45:00","2021-07-16",0.171,1626435900000
"2021-07-16 12:00:00","2021-07-16",0.168,1626436800000
"2021-07-16 12:15:00","2021-07-16",0.163,1626437700000
"2021-07-16 12:30:00","2021-07-16",0.156,1626438600000
"2021-07-16 12:45:00","2021-07-16",0.167,1626439500000
"2021-07-16 13:00:00","2021-07-16",0.17,1626440400000
"2021-07-16 13:15:00","2021-07-16",0.154,1626441300000
"2021-07-16 13:30:00","2021-07-16",0.177,1626442200000
"2021-07-16 13:45:00","2021-07-16",0.156,1626443100000
"2021-07-16 14:00:00","2021-07-16",0.151,1626444000000
"2021-07-16 14:15:00","2021-07-16",0.158,1626444900000
"2021-07-16 14:30:00","2021-07-16",0.15,1626445800000
"2021-07-16 14:45:00","2021-07-16",0.154,1626446700000
