"datetime","date","ph-i-subdaily","epoch"
"2019-01-02 22:16:52","2019-01-02",3.42,1546467412000
"2019-01-02 22:31:52","2019-01-02",3.41,1546468312000
"2019-01-02 22:46:52","2019-01-02",3.43,1546469212000
"2019-01-02 23:01:52","2019-01-02",3.4,1546470112000
"2019-01-02 23:16:52","2019-01-02",3.34,1546471012000
"2019-01-02 23:31:52","2019-01-02",3.32,1546471912000
"2019-01-02 23:46:52","2019-01-02",3.41,1546472812000
"2019-01-03 00:01:52","2019-01-03",3.25,1546473712000
"2019-01-03 00:16:52","2019-01-03",3.23,1546474612000
"2019-01-03 00:31:51","2019-01-03",3.36,1546475511000
"2019-01-03 00:46:52","2019-01-03",3.34,1546476412000
"2019-01-03 01:01:51","2019-01-03",3.41,1546477311000
"2019-01-03 01:16:52","2019-01-03",3.39,1546478212000
"2019-01-03 01:31:52","2019-01-03",3.35,1546479112000
"2019-01-03 01:46:52","2019-01-03",3.35,1546480012000
"2019-01-03 02:01:52","2019-01-03",3.33,1546480912000
"2019-01-03 02:16:52","2019-01-03",3.39,1546481812000
"2019-01-03 02:31:52","2019-01-03",3.42,1546482712000
"2019-01-03 02:46:52","2019-01-03",3.37,1546483612000
"2019-01-03 03:01:21","2019-01-03",3.36,1546484481000
"2019-01-03 03:16:52","2019-01-03",3.4,1546485412000
"2019-01-03 03:31:52","2019-01-03",3.41,1546486312000
"2019-01-03 03:46:52","2019-01-03",3.34,1546487212000
"2019-01-03 04:01:52","2019-01-03",3.33,1546488112000
"2019-01-03 04:16:52","2019-01-03",3.27,1546489012000
"2019-01-03 04:31:52","2019-01-03",3.28,1546489912000
"2019-01-03 04:46:52","2019-01-03",3.29,1546490812000
"2019-01-03 05:01:52","2019-01-03",3.3,1546491712000
"2019-01-03 05:16:52","2019-01-03",3.3,1546492612000
"2019-01-03 05:31:52","2019-01-03",3.3,1546493512000
"2019-01-03 05:46:52","2019-01-03",3.33,1546494412000
"2019-01-03 06:01:52","2019-01-03",3.33,1546495312000
"2019-01-03 06:16:52","2019-01-03",3.32,1546496212000
"2019-01-03 06:31:52","2019-01-03",3.33,1546497112000
"2019-01-03 06:46:52","2019-01-03",3.32,1546498012000
"2019-01-03 07:01:24","2019-01-03",3.32,1546498884000
"2019-01-03 07:16:53","2019-01-03",3.32,1546499813000
"2019-01-03 07:31:52","2019-01-03",3.33,1546500712000
"2019-01-03 07:46:52","2019-01-03",3.33,1546501612000
"2019-01-03 08:01:52","2019-01-03",3.35,1546502512000
"2019-01-03 08:16:52","2019-01-03",3.35,1546503412000
"2019-01-03 08:31:52","2019-01-03",3.35,1546504312000
"2019-01-03 08:46:52","2019-01-03",3.34,1546505212000
"2019-01-03 09:01:52","2019-01-03",3.34,1546506112000
"2019-01-03 09:16:52","2019-01-03",3.34,1546507012000
"2019-01-03 09:31:52","2019-01-03",3.32,1546507912000
"2019-01-03 09:46:52","2019-01-03",3.32,1546508812000
"2019-01-03 10:01:52","2019-01-03",3.32,1546509712000
"2019-01-03 10:16:52","2019-01-03",3.33,1546510612000
"2019-01-03 10:31:52","2019-01-03",3.32,1546511512000
"2019-01-03 10:46:52","2019-01-03",3.3,1546512412000
"2019-01-03 11:01:52","2019-01-03",3.28,1546513312000
"2019-01-03 11:16:52","2019-01-03",3.16,1546514212000
"2019-01-03 11:31:52","2019-01-03",3.18,1546515112000
"2019-01-03 11:46:52","2019-01-03",3.29,1546516012000
"2019-01-03 12:01:52","2019-01-03",3.21,1546516912000
"2019-01-03 12:16:52","2019-01-03",3.2,1546517812000
"2019-01-03 12:31:52","2019-01-03",3.2,1546518712000
"2019-01-03 12:46:52","2019-01-03",3.21,1546519612000
"2019-01-03 13:01:20","2019-01-03",3.22,1546520480000
"2019-01-03 13:16:52","2019-01-03",3.24,1546521412000
"2019-01-03 13:31:52","2019-01-03",3.23,1546522312000
"2019-01-03 13:46:52","2019-01-03",3.21,1546523212000
"2019-01-03 14:01:52","2019-01-03",3.17,1546524112000
"2019-01-03 14:16:52","2019-01-03",3.22,1546525012000
"2019-01-03 14:31:52","2019-01-03",3.21,1546525912000
"2019-01-03 14:46:52","2019-01-03",3.28,1546526812000
"2019-01-03 15:01:52","2019-01-03",3.24,1546527712000
"2019-01-03 15:16:52","2019-01-03",3.25,1546528612000
"2019-01-03 15:31:52","2019-01-03",3.27,1546529512000
"2019-01-03 15:46:52","2019-01-03",3.28,1546530412000
"2019-01-03 16:01:52","2019-01-03",3.32,1546531312000
"2019-01-03 16:16:52","2019-01-03",3.31,1546532212000
"2019-01-03 16:31:52","2019-01-03",3.32,1546533112000
"2019-01-03 16:46:52","2019-01-03",3.31,1546534012000
"2019-01-03 17:01:22","2019-01-03",3.31,1546534882000
"2019-01-03 17:16:52","2019-01-03",3.33,1546535812000
"2019-01-03 17:31:52","2019-01-03",3.28,1546536712000
"2019-01-03 17:46:52","2019-01-03",3.29,1546537612000
"2019-01-03 18:01:52","2019-01-03",3.29,1546538512000
"2019-01-03 18:16:52","2019-01-03",3.3,1546539412000
"2019-01-03 18:31:52","2019-01-03",3.35,1546540312000
"2019-01-03 18:46:52","2019-01-03",3.38,1546541212000
"2019-01-03 19:01:20","2019-01-03",3.38,1546542080000
"2019-01-03 19:16:52","2019-01-03",3.39,1546543012000
"2019-01-03 19:31:52","2019-01-03",3.38,1546543912000
"2019-01-03 19:46:52","2019-01-03",3.38,1546544812000
"2019-01-03 20:01:52","2019-01-03",3.38,1546545712000
"2019-01-03 20:16:52","2019-01-03",3.34,1546546612000
"2019-01-03 20:31:52","2019-01-03",3.31,1546547512000
"2019-01-03 20:46:52","2019-01-03",3.34,1546548412000
"2019-01-03 21:01:52","2019-01-03",3.34,1546549312000
"2019-01-03 21:16:52","2019-01-03",3.34,1546550212000
"2019-01-03 21:31:52","2019-01-03",3.32,1546551112000
"2019-01-03 21:46:52","2019-01-03",3.34,1546552012000
"2019-01-03 22:01:52","2019-01-03",3.32,1546552912000
"2019-01-03 22:16:52","2019-01-03",3.33,1546553812000
"2019-01-03 22:31:52","2019-01-03",3.33,1546554712000
"2019-01-03 22:46:52","2019-01-03",3.32,1546555612000
"2019-01-03 23:01:25","2019-01-03",3.32,1546556485000
"2019-01-03 23:16:52","2019-01-03",3.28,1546557412000
"2019-01-03 23:31:52","2019-01-03",3.27,1546558312000
"2019-01-03 23:46:52","2019-01-03",3.27,1546559212000
"2019-01-04 00:01:52","2019-01-04",3.35,1546560112000
"2019-01-04 00:16:52","2019-01-04",3.33,1546561012000
"2019-01-04 00:31:52","2019-01-04",3.33,1546561912000
