"datetime","date","cond-i-subdaily-uS","epoch"
"2021-01-02 22:47:11","2021-01-02",495.0,1609627631000
"2021-01-02 23:02:11","2021-01-02",495.0,1609628531000
"2021-01-02 23:17:13","2021-01-02",497.0,1609629433000
"2021-01-02 23:32:11","2021-01-02",498.0,1609630331000
"2021-01-02 23:47:11","2021-01-02",499.0,1609631231000
"2021-01-03 00:02:11","2021-01-03",498.0,1609632131000
"2021-01-03 00:17:11","2021-01-03",499.0,1609633031000
"2021-01-03 00:32:11","2021-01-03",497.0,1609633931000
"2021-01-03 00:47:11","2021-01-03",499.0,1609634831000
"2021-01-03 01:02:11","2021-01-03",499.0,1609635731000
"2021-01-03 01:17:11","2021-01-03",497.0,1609636631000
"2021-01-03 01:32:11","2021-01-03",498.0,1609637531000
"2021-01-03 01:47:11","2021-01-03",498.0,1609638431000
"2021-01-03 02:02:11","2021-01-03",498.0,1609639331000
"2021-01-03 02:17:11","2021-01-03",498.0,1609640231000
"2021-01-03 02:32:11","2021-01-03",497.0,1609641131000
"2021-01-03 02:47:11","2021-01-03",498.0,1609642031000
"2021-01-03 03:02:11","2021-01-03",497.0,1609642931000
"2021-01-03 03:17:11","2021-01-03",496.0,1609643831000
"2021-01-03 03:32:11","2021-01-03",497.0,1609644731000
"2021-01-03 03:47:11","2021-01-03",498.0,1609645631000
"2021-01-03 04:02:11","2021-01-03",499.0,1609646531000
"2021-01-03 04:17:11","2021-01-03",497.0,1609647431000
"2021-01-03 04:32:11","2021-01-03",495.0,1609648331000
"2021-01-03 04:47:11","2021-01-03",496.0,1609649231000
"2021-01-03 05:02:11","2021-01-03",498.0,1609650131000
"2021-01-03 05:17:11","2021-01-03",498.0,1609651031000
"2021-01-03 05:32:11","2021-01-03",501.0,1609651931000
"2021-01-03 05:47:11","2021-01-03",492.0,1609652831000
"2021-01-03 06:02:11","2021-01-03",489.0,1609653731000
"2021-01-03 06:17:11","2021-01-03",489.0,1609654631000
"2021-01-03 06:32:11","2021-01-03",489.0,1609655531000
"2021-01-03 06:47:11","2021-01-03",490.0,1609656431000
"2021-01-03 07:02:11","2021-01-03",490.0,1609657331000
"2021-01-03 07:17:11","2021-01-03",490.0,1609658231000
"2021-01-03 07:32:11","2021-01-03",491.0,1609659131000
"2021-01-03 07:47:11","2021-01-03",491.0,1609660031000
"2021-01-03 08:02:11","2021-01-03",491.0,1609660931000
"2021-01-03 08:17:11","2021-01-03",492.0,1609661831000
"2021-01-03 08:32:11","2021-01-03",493.0,1609662731000
"2021-01-03 08:47:11","2021-01-03",494.0,1609663631000
"2021-01-03 09:02:11","2021-01-03",494.0,1609664531000
"2021-01-03 09:17:11","2021-01-03",494.0,1609665431000
"2021-01-03 09:32:11","2021-01-03",494.0,1609666331000
