"datetime","date","do-i-subdaily-mgL","epoch"
"2020-01-02 00:02:12","2020-01-02",11.86,1577923332000
"2020-01-02 00:17:12","2020-01-02",11.89,1577924232000
"2020-01-02 00:32:12","2020-01-02",11.92,1577925132000
"2020-01-02 00:47:12","2020-01-02",11.91,1577926032000
"2020-01-02 01:02:12","2020-01-02",11.93,1577926932000
"2020-01-02 01:17:12","2020-01-02",11.93,1577927832000
"2020-01-02 01:32:12","2020-01-02",11.93,1577928732000
"2020-01-02 01:47:12","2020-01-02",11.94,1577929632000
"2020-01-02 02:02:12","2020-01-02",11.94,1577930532000
"2020-01-02 02:17:12","2020-01-02",11.93,1577931432000
"2020-01-02 02:32:12","2020-01-02",11.93,1577932332000
"2020-01-02 02:47:12","2020-01-02",11.93,1577933232000
"2020-01-02 03:02:12","2020-01-02",11.95,1577934132000
"2020-01-02 03:17:12","2020-01-02",11.95,1577935032000
"2020-01-02 03:32:12","2020-01-02",11.95,1577935932000
"2020-01-02 03:47:12","2020-01-02",11.93,1577936832000
"2020-01-02 04:02:12","2020-01-02",11.88,1577937732000
"2020-01-02 04:17:12","2020-01-02",11.93,1577938632000
"2020-01-02 04:32:12","2020-01-02",11.89,1577939532000
"2020-01-02 04:47:12","2020-01-02",11.89,1577940432000
"2020-01-02 05:02:12","2020-01-02",11.85,1577941332000
"2020-01-02 05:17:12","2020-01-02",11.88,1577942232000
"2020-01-02 05:32:12","2020-01-02",11.9,1577943132000
"2020-01-02 05:47:12","2020-01-02",11.92,1577944032000
"2020-01-02 06:02:12","2020-01-02",11.89,1577944932000
"2020-01-02 06:17:12","2020-01-02",11.87,1577945832000
"2020-01-02 06:32:12","2020-01-02",11.87,1577946732000
"2020-01-02 06:47:12","2020-01-02",11.84,1577947632000
"2020-01-02 07:02:12","2020-01-02",11.77,1577948532000
"2020-01-02 07:17:12","2020-01-02",11.79,1577949432000
"2020-01-02 07:32:12","2020-01-02",11.85,1577950332000
"2020-01-02 07:47:12","2020-01-02",11.92,1577951232000
"2020-01-02 08:02:12","2020-01-02",11.96,1577952132000
"2020-01-02 08:17:12","2020-01-02",11.97,1577953032000
"2020-01-02 08:32:12","2020-01-02",11.96,1577953932000
"2020-01-02 08:47:12","2020-01-02",11.97,1577954832000
"2020-01-02 09:02:11","2020-01-02",11.96,1577955731000
"2020-01-02 09:17:11","2020-01-02",11.95,1577956631000
"2020-01-02 09:32:11","2020-01-02",11.94,1577957531000
"2020-01-02 09:47:12","2020-01-02",11.93,1577958432000
"2020-01-02 10:02:12","2020-01-02",11.91,1577959332000
"2020-01-02 10:17:12","2020-01-02",11.91,1577960232000
"2020-01-02 10:32:12","2020-01-02",11.9,1577961132000
"2020-01-02 10:47:12","2020-01-02",11.82,1577962032000
"2020-01-02 11:02:12","2020-01-02",11.77,1577962932000
"2020-01-02 11:17:12","2020-01-02",11.82,1577963832000
"2020-01-02 11:32:12","2020-01-02",11.87,1577964732000
"2020-01-02 11:47:12","2020-01-02",11.89,1577965632000
"2020-01-02 12:02:12","2020-01-02",11.91,1577966532000
"2020-01-02 12:17:12","2020-01-02",11.91,1577967432000
"2020-01-02 12:32:12","2020-01-02",11.92,1577968332000
"2020-01-02 12:47:12","2020-01-02",11.91,1577969232000
"2020-01-02 13:02:12","2020-01-02",11.9,1577970132000
"2020-01-02 13:17:12","2020-01-02",11.92,1577971032000
"2020-01-02 13:32:12","2020-01-02",11.9,1577971932000
"2020-01-02 13:47:12","2020-01-02",11.88,1577972832000
"2020-01-02 14:02:12","2020-01-02",11.87,1577973732000
"2020-01-02 14:17:12","2020-01-02",11.88,1577974632000
"2020-01-02 14:32:12","2020-01-02",11.87,1577975532000
"2020-01-02 14:47:12","2020-01-02",11.89,1577976432000
"2020-01-02 15:02:12","2020-01-02",11.9,1577977332000
"2020-01-02 15:17:11","2020-01-02",11.89,1577978231000
"2020-01-02 15:32:12","2020-01-02",11.88,1577979132000
"2020-01-02 15:47:12","2020-01-02",11.88,1577980032000
"2020-01-02 16:02:12","2020-01-02",11.88,1577980932000
"2020-01-02 16:17:12","2020-01-02",11.88,1577981832000
"2020-01-02 16:32:12","2020-01-02",11.86,1577982732000
