"datetime","date","do-i-subdaily-mgL","epoch"
"2019-01-02 22:17:11","2019-01-02",11.81,1546467431000
"2019-01-02 22:32:11","2019-01-02",11.65,1546468331000
"2019-01-02 22:47:11","2019-01-02",11.55,1546469231000
"2019-01-02 23:02:11","2019-01-02",11.44,1546470131000
"2019-01-02 23:17:12","2019-01-02",11.45,1546471032000
"2019-01-02 23:32:12","2019-01-02",11.32,1546471932000
"2019-01-02 23:47:11","2019-01-02",11.36,1546472831000
"2019-01-03 00:02:11","2019-01-03",11.37,1546473731000
"2019-01-03 00:17:12","2019-01-03",11.32,1546474632000
"2019-01-03 00:32:12","2019-01-03",11.28,1546475532000
"2019-01-03 00:47:12","2019-01-03",11.19,1546476432000
"2019-01-03 01:02:11","2019-01-03",11.27,1546477331000
"2019-01-03 01:17:12","2019-01-03",11.33,1546478232000
"2019-01-03 01:32:12","2019-01-03",11.36,1546479132000
"2019-01-03 01:47:12","2019-01-03",11.17,1546480032000
"2019-01-03 02:02:12","2019-01-03",11.3,1546480932000
"2019-01-03 02:17:12","2019-01-03",11.48,1546481832000
"2019-01-03 02:32:12","2019-01-03",11.57,1546482732000
"2019-01-03 02:47:11","2019-01-03",11.66,1546483631000
"2019-01-03 03:02:12","2019-01-03",11.75,1546484532000
"2019-01-03 03:17:12","2019-01-03",11.78,1546485432000
"2019-01-03 03:32:11","2019-01-03",11.82,1546486331000
"2019-01-03 03:47:11","2019-01-03",11.82,1546487231000
"2019-01-03 04:02:12","2019-01-03",11.88,1546488132000
"2019-01-03 04:17:11","2019-01-03",11.88,1546489031000
"2019-01-03 04:32:11","2019-01-03",11.78,1546489931000
"2019-01-03 04:47:11","2019-01-03",11.56,1546490831000
"2019-01-03 05:02:11","2019-01-03",11.44,1546491731000
"2019-01-03 05:17:12","2019-01-03",11.37,1546492632000
"2019-01-03 05:32:12","2019-01-03",11.37,1546493532000
"2019-01-03 05:47:11","2019-01-03",11.43,1546494431000
"2019-01-03 06:02:11","2019-01-03",11.54,1546495331000
"2019-01-03 06:17:12","2019-01-03",11.74,1546496232000
"2019-01-03 06:32:12","2019-01-03",12.02,1546497132000
"2019-01-03 06:47:12","2019-01-03",12.32,1546498032000
"2019-01-03 07:02:11","2019-01-03",12.41,1546498931000
"2019-01-03 07:17:11","2019-01-03",12.39,1546499831000
"2019-01-03 07:32:12","2019-01-03",12.35,1546500732000
"2019-01-03 07:47:12","2019-01-03",12.29,1546501632000
"2019-01-03 08:02:11","2019-01-03",12.22,1546502531000
"2019-01-03 08:17:12","2019-01-03",12.04,1546503432000
"2019-01-03 08:32:12","2019-01-03",11.9,1546504332000
"2019-01-03 08:47:12","2019-01-03",11.78,1546505232000
"2019-01-03 09:02:12","2019-01-03",11.75,1546506132000
"2019-01-03 09:17:12","2019-01-03",11.69,1546507032000
"2019-01-03 09:32:12","2019-01-03",11.61,1546507932000
"2019-01-03 09:47:12","2019-01-03",11.85,1546508832000
"2019-01-03 10:02:12","2019-01-03",11.99,1546509732000
"2019-01-03 10:17:11","2019-01-03",12.14,1546510631000
"2019-01-03 10:32:11","2019-01-03",12.1,1546511531000
"2019-01-03 10:47:12","2019-01-03",11.87,1546512432000
"2019-01-03 11:02:11","2019-01-03",11.64,1546513331000
"2019-01-03 11:17:12","2019-01-03",11.53,1546514232000
"2019-01-03 11:32:12","2019-01-03",11.49,1546515132000
"2019-01-03 11:47:12","2019-01-03",11.52,1546516032000
"2019-01-03 12:02:11","2019-01-03",11.51,1546516931000
