"datetime","date","do-i-subdaily-pct","epoch"
"2018-01-02 22:17:11","2018-01-02",101.1,1514931431000
"2018-01-02 22:32:11","2018-01-02",101.2,1514932331000
"2018-01-02 22:47:11","2018-01-02",101.2,1514933231000
"2018-01-02 23:02:11","2018-01-02",101.2,1514934131000
"2018-01-02 23:17:11","2018-01-02",101.2,1514935031000
"2018-01-02 23:32:11","2018-01-02",101.2,1514935931000
"2018-01-02 23:47:11","2018-01-02",101.1,1514936831000
"2018-01-03 00:02:11","2018-01-03",101.2,1514937731000
"2018-01-03 00:17:11","2018-01-03",101.2,1514938631000
"2018-01-03 00:32:11","2018-01-03",101.1,1514939531000
"2018-01-03 00:47:11","2018-01-03",100.8,1514940431000
"2018-01-03 01:02:11","2018-01-03",100.8,1514941331000
"2018-01-03 01:17:11","2018-01-03",100.5,1514942231000
"2018-01-03 01:32:11","2018-01-03",100.6,1514943131000
"2018-01-03 01:47:11","2018-01-03",100.5,1514944031000
"2018-01-03 02:02:11","2018-01-03",100.1,1514944931000
"2018-01-03 02:17:11","2018-01-03",99.8,1514945831000
"2018-01-03 02:32:11","2018-01-03",99.6,1514946731000
"2018-01-03 02:47:11","2018-01-03",99.6,1514947631000
"2018-01-03 03:02:11","2018-01-03",99.7,1514948531000
"2018-01-03 03:17:11","2018-01-03",99.6,1514949431000
"2018-01-03 03:32:11","2018-01-03",99.5,1514950331000
"2018-01-03 03:47:11","2018-01-03",99.8,1514951231000
"2018-01-03 04:02:11","2018-01-03",96.7,1514952131000
"2018-01-03 04:17:11","2018-01-03",96.0,1514953031000
"2018-01-03 04:32:11","2018-01-03",96.8,1514953931000
"2018-01-03 04:47:11","2018-01-03",97.1,1514954831000
"2018-01-03 05:02:11","2018-01-03",97.5,1514955731000
"2018-01-03 05:17:11","2018-01-03",98.1,1514956631000
"2018-01-03 05:32:11","2018-01-03",98.3,1514957531000
"2018-01-03 05:47:11","2018-01-03",98.2,1514958431000
"2018-01-03 06:02:11","2018-01-03",98.0,1514959331000
"2018-01-03 06:17:11","2018-01-03",97.5,1514960231000
"2018-01-03 06:32:11","2018-01-03",97.3,1514961131000
"2018-01-03 06:47:11","2018-01-03",97.2,1514962031000
"2018-01-03 07:02:11","2018-01-03",97.2,1514962931000
"2018-01-03 07:17:11","2018-01-03",97.1,1514963831000
"2018-01-03 07:32:11","2018-01-03",97.0,1514964731000
"2018-01-03 07:47:11","2018-01-03",96.9,1514965631000
"2018-01-03 08:02:11","2018-01-03",97.3,1514966531000
"2018-01-03 08:17:11","2018-01-03",97.6,1514967431000
"2018-01-03 08:32:11","2018-01-03",98.0,1514968331000
"2018-01-03 08:47:11","2018-01-03",97.8,1514969231000
"2018-01-03 09:02:11","2018-01-03",98.2,1514970131000
"2018-01-03 09:17:11","2018-01-03",98.3,1514971031000
"2018-01-03 09:32:11","2018-01-03",98.6,1514971931000
"2018-01-03 09:47:11","2018-01-03",98.6,1514972831000
"2018-01-03 10:02:11","2018-01-03",98.9,1514973731000
"2018-01-03 10:17:11","2018-01-03",99.1,1514974631000
"2018-01-03 10:32:11","2018-01-03",99.5,1514975531000
"2018-01-03 10:47:11","2018-01-03",99.4,1514976431000
"2018-01-03 11:02:11","2018-01-03",99.6,1514977331000
"2018-01-03 11:17:11","2018-01-03",99.3,1514978231000
"2018-01-03 11:32:11","2018-01-03",98.9,1514979131000
"2018-01-03 11:47:11","2018-01-03",98.9,1514980031000
"2018-01-03 12:02:11","2018-01-03",99.1,1514980931000
"2018-01-03 12:17:11","2018-01-03",99.0,1514981831000
"2018-01-03 12:32:10","2018-01-03",99.0,1514982730000
"2018-01-03 12:47:11","2018-01-03",99.2,1514983631000
"2018-01-03 13:02:11","2018-01-03",99.1,1514984531000
"2018-01-03 13:17:11","2018-01-03",99.1,1514985431000
"2018-01-03 13:32:11","2018-01-03",99.1,1514986331000
"2018-01-03 13:47:11","2018-01-03",98.4,1514987231000
"2018-01-03 14:02:10","2018-01-03",98.8,1514988130000
"2018-01-03 14:17:11","2018-01-03",99.5,1514989031000
"2018-01-03 14:32:11","2018-01-03",99.4,1514989931000
"2018-01-03 14:47:11","2018-01-03",98.6,1514990831000
"2018-01-03 15:02:11","2018-01-03",98.0,1514991731000
"2018-01-03 15:17:11","2018-01-03",97.4,1514992631000
"2018-01-03 15:32:11","2018-01-03",97.1,1514993531000
"2018-01-03 15:47:11","2018-01-03",96.7,1514994431000
"2018-01-03 16:02:11","2018-01-03",96.8,1514995331000
"2018-01-03 16:17:11","2018-01-03",98.2,1514996231000
"2018-01-03 16:32:11","2018-01-03",97.4,1514997131000
"2018-01-03 16:47:11","2018-01-03",97.0,1514998031000
"2018-01-03 17:02:11","2018-01-03",96.9,1514998931000
"2018-01-03 17:17:11","2018-01-03",97.9,1514999831000
"2018-01-03 17:32:11","2018-01-03",98.6,1515000731000
"2018-01-03 17:47:11","2018-01-03",98.8,1515001631000
"2018-01-03 18:02:11","2018-01-03",99.1,1515002531000
"2018-01-03 18:17:11","2018-01-03",99.2,1515003431000
"2018-01-03 18:32:11","2018-01-03",99.2,1515004331000
"2018-01-03 18:47:11","2018-01-03",99.3,1515005231000
"2018-01-03 19:02:11","2018-01-03",99.2,1515006131000
"2018-01-03 19:17:11","2018-01-03",99.2,1515007031000
"2018-01-03 19:32:11","2018-01-03",99.1,1515007931000
"2018-01-03 19:47:11","2018-01-03",98.8,1515008831000
"2018-01-03 20:02:11","2018-01-03",99.2,1515009731000
"2018-01-03 20:17:11","2018-01-03",99.5,1515010631000
"2018-01-03 20:32:11","2018-01-03",99.8,1515011531000
"2018-01-03 20:47:11","2018-01-03",99.9,1515012431000
"2018-01-03 21:02:11","2018-01-03",99.9,1515013331000
