"datetime","date","cond-i-subdaily-uS","epoch"
"2021-01-02 22:17:10","2021-01-02",592.0,1609625830000
"2021-01-02 22:32:10","2021-01-02",593.0,1609626730000
"2021-01-02 22:47:13","2021-01-02",594.0,1609627633000
"2021-01-02 23:02:10","2021-01-02",595.0,1609628530000
"2021-01-02 23:17:10","2021-01-02",597.0,1609629430000
"2021-01-02 23:32:10","2021-01-02",597.0,1609630330000
"2021-01-02 23:47:10","2021-01-02",597.0,1609631230000
"2021-01-03 00:02:10","2021-01-03",597.0,1609632130000
"2021-01-03 00:17:11","2021-01-03",597.0,1609633031000
"2021-01-03 00:32:10","2021-01-03",595.0,1609633930000
"2021-01-03 00:47:10","2021-01-03",596.0,1609634830000
"2021-01-03 01:02:10","2021-01-03",596.0,1609635730000
"2021-01-03 01:17:13","2021-01-03",597.0,1609636633000
"2021-01-03 01:32:12","2021-01-03",599.0,1609637532000
"2021-01-03 01:47:10","2021-01-03",598.0,1609638430000
"2021-01-03 02:02:10","2021-01-03",596.0,1609639330000
"2021-01-03 02:17:10","2021-01-03",597.0,1609640230000
"2021-01-03 02:32:10","2021-01-03",597.0,1609641130000
"2021-01-03 02:47:10","2021-01-03",595.0,1609642030000
"2021-01-03 03:02:10","2021-01-03",594.0,1609642930000
"2021-01-03 03:17:11","2021-01-03",594.0,1609643831000
"2021-01-03 03:32:10","2021-01-03",593.0,1609644730000
"2021-01-03 03:47:10","2021-01-03",593.0,1609645630000
"2021-01-03 04:02:10","2021-01-03",593.0,1609646530000
"2021-01-03 04:17:11","2021-01-03",594.0,1609647431000
"2021-01-03 04:32:10","2021-01-03",594.0,1609648330000
"2021-01-03 04:47:10","2021-01-03",594.0,1609649230000
"2021-01-03 05:02:11","2021-01-03",593.0,1609650131000
"2021-01-03 05:17:10","2021-01-03",593.0,1609651030000
"2021-01-03 05:32:10","2021-01-03",594.0,1609651930000
"2021-01-03 05:47:10","2021-01-03",594.0,1609652830000
"2021-01-03 06:02:11","2021-01-03",594.0,1609653731000
"2021-01-03 06:17:12","2021-01-03",595.0,1609654632000
"2021-01-03 06:32:10","2021-01-03",595.0,1609655530000
"2021-01-03 06:47:11","2021-01-03",595.0,1609656431000
"2021-01-03 07:02:10","2021-01-03",596.0,1609657330000
"2021-01-03 07:17:10","2021-01-03",599.0,1609658230000
"2021-01-03 07:32:10","2021-01-03",600.0,1609659130000
"2021-01-03 07:47:10","2021-01-03",598.0,1609660030000
"2021-01-03 08:02:11","2021-01-03",598.0,1609660931000
"2021-01-03 08:17:10","2021-01-03",600.0,1609661830000
"2021-01-03 08:32:13","2021-01-03",604.0,1609662733000
"2021-01-03 08:47:10","2021-01-03",603.0,1609663630000
"2021-01-03 09:02:11","2021-01-03",601.0,1609664531000
"2021-01-03 09:17:11","2021-01-03",599.0,1609665431000
"2021-01-03 09:32:11","2021-01-03",598.0,1609666331000
"2021-01-03 09:47:10","2021-01-03",597.0,1609667230000
"2021-01-03 10:02:10","2021-01-03",601.0,1609668130000
"2021-01-03 10:17:12","2021-01-03",599.0,1609669032000
"2021-01-03 10:32:13","2021-01-03",599.0,1609669933000
"2021-01-03 10:47:10","2021-01-03",603.0,1609670830000
"2021-01-03 11:02:10","2021-01-03",602.0,1609671730000
"2021-01-03 11:17:11","2021-01-03",603.0,1609672631000
"2021-01-03 11:32:10","2021-01-03",603.0,1609673530000
"2021-01-03 11:47:10","2021-01-03",603.0,1609674430000
"2021-01-03 12:02:10","2021-01-03",605.0,1609675330000
"2021-01-03 12:17:10","2021-01-03",605.0,1609676230000
"2021-01-03 12:47:10","2021-01-03",607.0,1609678030000
"2021-01-03 13:02:11","2021-01-03",604.0,1609678931000
"2021-01-03 13:17:10","2021-01-03",602.0,1609679830000
"2021-01-03 13:32:11","2021-01-03",607.0,1609680731000
"2021-01-03 13:47:10","2021-01-03",603.0,1609681630000
"2021-01-03 14:17:10","2021-01-03",603.0,1609683430000
"2021-01-03 14:32:11","2021-01-03",604.0,1609684331000
"2021-01-03 14:47:11","2021-01-03",603.0,1609685231000
"2021-01-03 15:02:10","2021-01-03",603.0,1609686130000
"2021-01-03 15:17:10","2021-01-03",603.0,1609687030000
"2021-01-03 15:32:10","2021-01-03",602.0,1609687930000
"2021-01-03 15:47:10","2021-01-03",602.0,1609688830000
"2021-01-03 16:02:10","2021-01-03",601.0,1609689730000
"2021-01-03 16:17:10","2021-01-03",601.0,1609690630000
"2021-01-03 16:32:11","2021-01-03",601.0,1609691531000
"2021-01-03 16:47:10","2021-01-03",601.0,1609692430000
"2021-01-03 17:02:10","2021-01-03",602.0,1609693330000
"2021-01-03 17:17:12","2021-01-03",602.0,1609694232000
"2021-01-03 17:32:10","2021-01-03",602.0,1609695130000
"2021-01-03 17:47:10","2021-01-03",601.0,1609696030000
"2021-01-03 18:02:10","2021-01-03",601.0,1609696930000
"2021-01-03 18:17:12","2021-01-03",601.0,1609697832000
"2021-01-03 18:32:10","2021-01-03",601.0,1609698730000
"2021-01-03 18:47:11","2021-01-03",601.0,1609699631000
"2021-01-03 19:02:11","2021-01-03",601.0,1609700531000
"2021-01-03 19:17:10","2021-01-03",601.0,1609701430000
"2021-01-03 19:32:10","2021-01-03",601.0,1609702330000
"2021-01-03 19:47:11","2021-01-03",604.0,1609703231000
"2021-01-03 20:02:11","2021-01-03",605.0,1609704131000
"2021-01-03 20:17:11","2021-01-03",606.0,1609705031000
"2021-01-03 20:32:11","2021-01-03",607.0,1609705931000
"2021-01-03 20:47:11","2021-01-03",612.0,1609706831000
"2021-01-03 21:02:11","2021-01-03",620.0,1609707731000
"2021-01-03 21:17:11","2021-01-03",620.0,1609708631000
"2021-01-03 21:32:10","2021-01-03",617.0,1609709530000
"2021-01-03 21:47:10","2021-01-03",615.0,1609710430000
"2021-01-03 22:17:11","2021-01-03",614.0,1609712231000
"2021-01-03 22:32:13","2021-01-03",614.0,1609713133000
"2021-01-03 22:47:11","2021-01-03",614.0,1609714031000
"2021-01-03 23:02:11","2021-01-03",615.0,1609714931000
"2021-01-03 23:17:12","2021-01-03",616.0,1609715832000
"2021-01-03 23:32:11","2021-01-03",617.0,1609716731000
"2021-01-03 23:47:10","2021-01-03",618.0,1609717630000
"2021-01-04 00:17:11","2021-01-04",619.0,1609719431000
"2021-01-04 00:32:11","2021-01-04",621.0,1609720331000
"2021-01-04 00:47:10","2021-01-04",619.0,1609721230000
"2021-01-04 01:02:11","2021-01-04",619.0,1609722131000
"2021-01-04 01:17:11","2021-01-04",618.0,1609723031000
"2021-01-04 01:32:13","2021-01-04",618.0,1609723933000
"2021-01-04 01:47:11","2021-01-04",618.0,1609724831000
"2021-01-04 02:02:11","2021-01-04",620.0,1609725731000
"2021-01-04 02:17:10","2021-01-04",622.0,1609726630000
"2021-01-04 02:32:10","2021-01-04",621.0,1609727530000
"2021-01-04 02:47:11","2021-01-04",620.0,1609728431000
"2021-01-04 03:02:11","2021-01-04",621.0,1609729331000
"2021-01-04 03:17:11","2021-01-04",619.0,1609730231000
"2021-01-04 03:32:11","2021-01-04",617.0,1609731131000
"2021-01-04 03:47:11","2021-01-04",618.0,1609732031000
"2021-01-04 04:02:11","2021-01-04",617.0,1609732931000
"2021-01-04 04:17:11","2021-01-04",617.0,1609733831000
"2021-01-04 04:32:11","2021-01-04",617.0,1609734731000
"2021-01-04 04:47:12","2021-01-04",617.0,1609735632000
"2021-01-04 05:02:11","2021-01-04",617.0,1609736531000
"2021-01-04 05:17:11","2021-01-04",618.0,1609737431000
"2021-01-04 05:32:11","2021-01-04",618.0,1609738331000
"2021-01-04 05:47:11","2021-01-04",617.0,1609739231000
