"datetime","date","ph-i-subdaily","epoch"
"2022-01-02 22:32:14","2022-01-02",7.91,1641162734000
"2022-01-02 22:47:11","2022-01-02",7.94,1641163631000
"2022-01-02 23:02:11","2022-01-02",7.93,1641164531000
"2022-01-02 23:17:11","2022-01-02",7.93,1641165431000
"2022-01-02 23:32:11","2022-01-02",7.97,1641166331000
"2022-01-02 23:47:11","2022-01-02",7.9,1641167231000
"2022-01-03 00:02:11","2022-01-03",7.96,1641168131000
"2022-01-03 00:17:11","2022-01-03",8.0,1641169031000
"2022-01-03 00:32:14","2022-01-03",7.97,1641169934000
"2022-01-03 00:47:11","2022-01-03",7.95,1641170831000
"2022-01-03 01:02:11","2022-01-03",7.95,1641171731000
"2022-01-03 01:17:11","2022-01-03",7.96,1641172631000
"2022-01-03 01:32:11","2022-01-03",7.96,1641173531000
"2022-01-03 01:47:14","2022-01-03",7.96,1641174434000
"2022-01-03 02:02:11","2022-01-03",7.96,1641175331000
"2022-01-03 02:17:12","2022-01-03",7.95,1641176232000
"2022-01-03 02:32:11","2022-01-03",7.96,1641177131000
"2022-01-03 02:47:11","2022-01-03",7.96,1641178031000
"2022-01-03 03:02:11","2022-01-03",7.95,1641178931000
"2022-01-03 03:17:11","2022-01-03",7.82,1641179831000
"2022-01-03 03:32:11","2022-01-03",7.83,1641180731000
"2022-01-03 03:47:11","2022-01-03",7.82,1641181631000
"2022-01-03 04:02:11","2022-01-03",7.93,1641182531000
"2022-01-03 04:17:11","2022-01-03",8.0,1641183431000
"2022-01-03 04:32:11","2022-01-03",8.04,1641184331000
"2022-01-03 04:47:11","2022-01-03",8.03,1641185231000
"2022-01-03 05:02:11","2022-01-03",8.03,1641186131000
"2022-01-03 05:17:11","2022-01-03",8.03,1641187031000
"2022-01-03 05:32:11","2022-01-03",8.02,1641187931000
"2022-01-03 05:47:11","2022-01-03",8.02,1641188831000
"2022-01-03 06:02:11","2022-01-03",8.02,1641189731000
"2022-01-03 06:17:11","2022-01-03",8.03,1641190631000
"2022-01-03 06:32:11","2022-01-03",8.02,1641191531000
"2022-01-03 06:47:11","2022-01-03",7.99,1641192431000
"2022-01-03 07:02:11","2022-01-03",7.96,1641193331000
"2022-01-03 07:17:12","2022-01-03",7.97,1641194232000
"2022-01-03 07:32:11","2022-01-03",8.0,1641195131000
"2022-01-03 07:47:11","2022-01-03",8.01,1641196031000
"2022-01-03 08:02:12","2022-01-03",8.02,1641196932000
"2022-01-03 08:17:12","2022-01-03",8.01,1641197832000
"2022-01-03 08:32:12","2022-01-03",8.01,1641198732000
"2022-01-03 08:47:11","2022-01-03",8.02,1641199631000
"2022-01-03 09:02:11","2022-01-03",8.03,1641200531000
"2022-01-03 09:17:11","2022-01-03",8.03,1641201431000
"2022-01-03 09:32:11","2022-01-03",8.03,1641202331000
"2022-01-03 09:47:11","2022-01-03",8.02,1641203231000
"2022-01-03 10:02:11","2022-01-03",8.02,1641204131000
"2022-01-03 10:17:11","2022-01-03",8.01,1641205031000
"2022-01-03 10:32:11","2022-01-03",8.02,1641205931000
"2022-01-03 10:47:11","2022-01-03",8.02,1641206831000
"2022-01-03 11:02:11","2022-01-03",8.01,1641207731000
"2022-01-03 11:17:11","2022-01-03",8.0,1641208631000
"2022-01-03 11:32:11","2022-01-03",8.01,1641209531000
"2022-01-03 11:47:11","2022-01-03",8.02,1641210431000
"2022-01-03 12:02:11","2022-01-03",8.03,1641211331000
"2022-01-03 12:17:11","2022-01-03",8.03,1641212231000
"2022-01-03 12:32:11","2022-01-03",8.03,1641213131000
"2022-01-03 12:47:11","2022-01-03",8.04,1641214031000
"2022-01-03 13:02:11","2022-01-03",8.06,1641214931000
"2022-01-03 13:17:11","2022-01-03",8.06,1641215831000
"2022-01-03 13:32:11","2022-01-03",8.04,1641216731000
"2022-01-03 13:47:11","2022-01-03",8.04,1641217631000
"2022-01-03 14:02:11","2022-01-03",8.06,1641218531000
"2022-01-03 14:17:11","2022-01-03",8.04,1641219431000
"2022-01-03 14:32:11","2022-01-03",8.04,1641220331000
"2022-01-03 14:47:11","2022-01-03",8.04,1641221231000
"2022-01-03 15:02:11","2022-01-03",8.04,1641222131000
"2022-01-03 15:17:14","2022-01-03",8.05,1641223034000
"2022-01-03 15:32:12","2022-01-03",8.05,1641223932000
"2022-01-03 15:47:11","2022-01-03",7.88,1641224831000
"2022-01-03 16:02:11","2022-01-03",7.88,1641225731000
"2022-01-03 16:17:12","2022-01-03",7.88,1641226632000
"2022-01-03 16:32:11","2022-01-03",7.96,1641227531000
"2022-01-03 16:47:11","2022-01-03",8.01,1641228431000
"2022-01-03 17:02:11","2022-01-03",8.01,1641229331000
"2022-01-03 17:17:11","2022-01-03",8.02,1641230231000
"2022-01-03 17:32:11","2022-01-03",8.01,1641231131000
"2022-01-03 17:47:11","2022-01-03",8.02,1641232031000
"2022-01-03 18:02:11","2022-01-03",7.99,1641232931000
"2022-01-03 18:17:11","2022-01-03",7.99,1641233831000
"2022-01-03 18:32:11","2022-01-03",7.98,1641234731000
"2022-01-03 18:47:12","2022-01-03",7.99,1641235632000
"2022-01-03 19:02:14","2022-01-03",7.98,1641236534000
"2022-01-03 19:17:11","2022-01-03",7.88,1641237431000
"2022-01-03 19:32:11","2022-01-03",7.89,1641238331000
