"datetime","date","turb-i-subdaily-ntu","epoch"
"2021-06-26 13:32:11","2021-06-26",-57.8,1624714331000
"2021-06-26 13:47:12","2021-06-26",-57.7,1624715232000
"2021-06-26 14:02:12","2021-06-26",-57.8,1624716132000
"2021-06-26 14:17:11","2021-06-26",-57.6,1624717031000
"2021-06-26 14:32:11","2021-06-26",-57.7,1624717931000
"2021-06-26 14:47:12","2021-06-26",-57.6,1624718832000
"2021-06-26 15:02:11","2021-06-26",-57.7,1624719731000
"2021-06-26 15:17:19","2021-06-26",-57.7,1624720639000
"2021-06-26 15:32:11","2021-06-26",-57.7,1624721531000
"2021-06-26 15:47:11","2021-06-26",-57.7,1624722431000
"2021-06-26 16:02:11","2021-06-26",-57.7,1624723331000
"2021-06-26 16:17:11","2021-06-26",-57.7,1624724231000
"2021-06-26 16:32:12","2021-06-26",-57.7,1624725132000
"2021-06-26 16:47:12","2021-06-26",-57.7,1624726032000
"2021-06-26 17:02:12","2021-06-26",-57.5,1624726932000
"2021-06-26 17:17:11","2021-06-26",-57.7,1624727831000
"2021-06-26 17:32:11","2021-06-26",-57.7,1624728731000
"2021-06-26 17:47:12","2021-06-26",-57.7,1624729632000
"2021-06-26 18:02:12","2021-06-26",-57.8,1624730532000
"2021-06-26 18:17:11","2021-06-26",-57.8,1624731431000
"2021-06-26 18:32:11","2021-06-26",-57.8,1624732331000
"2021-06-26 18:47:11","2021-06-26",-57.7,1624733231000
"2021-06-26 19:02:12","2021-06-26",-57.8,1624734132000
"2021-06-26 19:17:12","2021-06-26",-57.9,1624735032000
"2021-06-26 19:32:13","2021-06-26",-57.7,1624735933000
"2021-06-26 19:47:11","2021-06-26",-57.7,1624736831000
"2021-06-26 20:02:11","2021-06-26",-57.7,1624737731000
"2021-06-26 20:17:13","2021-06-26",-57.9,1624738633000
"2021-06-26 20:32:11","2021-06-26",-57.7,1624739531000
"2021-06-26 20:47:11","2021-06-26",-57.9,1624740431000
"2021-06-26 21:02:11","2021-06-26",-57.9,1624741331000
"2021-06-26 21:17:12","2021-06-26",-57.9,1624742232000
"2021-06-26 21:32:11","2021-06-26",-57.9,1624743131000
"2021-06-26 21:47:11","2021-06-26",-57.9,1624744031000
"2021-06-26 22:02:15","2021-06-26",-57.8,1624744935000
"2021-06-26 22:17:11","2021-06-26",-57.9,1624745831000
"2021-06-26 22:32:11","2021-06-26",-57.9,1624746731000
"2021-06-26 22:47:11","2021-06-26",-57.9,1624747631000
"2021-06-26 23:02:11","2021-06-26",-57.9,1624748531000
"2021-06-26 23:17:12","2021-06-26",-57.8,1624749432000
"2021-06-26 23:32:15","2021-06-26",-57.9,1624750335000
"2021-06-26 23:47:11","2021-06-26",-57.8,1624751231000
"2021-06-27 00:02:11","2021-06-27",-57.8,1624752131000
"2021-06-27 00:17:15","2021-06-27",-57.8,1624753035000
"2021-06-27 00:32:11","2021-06-27",-57.8,1624753931000
"2021-06-27 00:47:11","2021-06-27",-57.7,1624754831000
"2021-06-27 01:02:12","2021-06-27",-57.8,1624755732000
"2021-06-27 01:17:11","2021-06-27",-57.8,1624756631000
"2021-06-27 01:32:11","2021-06-27",-57.7,1624757531000
"2021-06-27 01:47:11","2021-06-27",-57.7,1624758431000
"2021-06-27 02:02:11","2021-06-27",-57.7,1624759331000
"2021-06-27 02:17:11","2021-06-27",-57.7,1624760231000
"2021-06-27 02:32:12","2021-06-27",-57.7,1624761132000
"2021-06-27 02:47:11","2021-06-27",-57.6,1624762031000
"2021-06-27 03:02:11","2021-06-27",-57.6,1624762931000
"2021-06-27 03:17:11","2021-06-27",-57.6,1624763831000
"2021-06-27 03:32:11","2021-06-27",-57.6,1624764731000
"2021-06-27 03:47:14","2021-06-27",-57.4,1624765634000
"2021-06-27 04:02:11","2021-06-27",-57.6,1624766531000
"2021-06-27 04:17:11","2021-06-27",-57.6,1624767431000
"2021-06-27 04:32:11","2021-06-27",-57.4,1624768331000
"2021-06-27 04:47:11","2021-06-27",-57.6,1624769231000
"2021-06-27 05:02:11","2021-06-27",-57.6,1624770131000
"2021-06-27 05:17:11","2021-06-27",-57.6,1624771031000
"2021-06-27 05:32:12","2021-06-27",-57.6,1624771932000
"2021-06-27 05:47:12","2021-06-27",-57.6,1624772832000
"2021-06-27 06:02:11","2021-06-27",-57.6,1624773731000
"2021-06-27 06:17:14","2021-06-27",-57.6,1624774634000
"2021-06-27 06:32:12","2021-06-27",-57.6,1624775532000
"2021-06-27 06:47:11","2021-06-27",-57.6,1624776431000
"2021-06-27 07:02:11","2021-06-27",-57.6,1624777331000
"2021-06-27 07:17:11","2021-06-27",-57.6,1624778231000
"2021-06-27 07:32:12","2021-06-27",-57.6,1624779132000
"2021-06-27 07:47:12","2021-06-27",-57.6,1624780032000
"2021-06-27 08:02:11","2021-06-27",-57.6,1624780931000
"2021-06-27 08:17:12","2021-06-27",-57.7,1624781832000
"2021-06-27 08:32:11","2021-06-27",-57.7,1624782731000
"2021-06-27 08:47:11","2021-06-27",-57.7,1624783631000
"2021-06-27 09:02:12","2021-06-27",-57.7,1624784532000
"2021-06-27 09:17:11","2021-06-27",-57.7,1624785431000
"2021-06-27 09:32:12","2021-06-27",-57.6,1624786332000
"2021-06-27 09:47:14","2021-06-27",-57.7,1624787234000
"2021-06-27 10:02:11","2021-06-27",-57.7,1624788131000
"2021-06-27 10:17:11","2021-06-27",-57.7,1624789031000
"2021-06-27 10:32:14","2021-06-27",-57.7,1624789934000
"2021-06-27 10:47:11","2021-06-27",-57.6,1624790831000
"2021-06-27 11:02:11","2021-06-27",-57.6,1624791731000
"2021-06-27 11:17:14","2021-06-27",-57.7,1624792634000
"2021-06-27 11:32:11","2021-06-27",-57.7,1624793531000
"2021-06-27 11:47:11","2021-06-27",-57.7,1624794431000
"2021-06-27 12:02:13","2021-06-27",-57.7,1624795333000
"2021-06-27 12:17:11","2021-06-27",-57.8,1624796231000
"2021-06-27 12:32:11","2021-06-27",-57.8,1624797131000
"2021-06-27 12:47:11","2021-06-27",-57.7,1624798031000
"2021-06-27 13:02:11","2021-06-27",-57.6,1624798931000
"2021-06-27 13:17:13","2021-06-27",-57.6,1624799833000
"2021-06-27 13:32:11","2021-06-27",-57.8,1624800731000
"2021-06-27 13:47:11","2021-06-27",-57.8,1624801631000
