"datetime","date","amm-i-subdaily-mgL","epoch"
"2020-01-02 00:02:12","2020-01-02",0.575,1577923332000
"2020-01-02 00:17:12","2020-01-02",0.574,1577924232000
"2020-01-02 00:32:12","2020-01-02",0.565,1577925132000
"2020-01-02 00:47:12","2020-01-02",0.566,1577926032000
"2020-01-02 01:02:12","2020-01-02",0.567,1577926932000
"2020-01-02 01:17:12","2020-01-02",0.566,1577927832000
"2020-01-02 01:32:12","2020-01-02",0.57,1577928732000
"2020-01-02 01:47:12","2020-01-02",0.563,1577929632000
"2020-01-02 02:02:12","2020-01-02",0.561,1577930532000
"2020-01-02 02:17:12","2020-01-02",0.562,1577931432000
"2020-01-02 02:32:12","2020-01-02",0.563,1577932332000
"2020-01-02 02:47:12","2020-01-02",0.559,1577933232000
"2020-01-02 03:02:12","2020-01-02",0.557,1577934132000
"2020-01-02 03:17:12","2020-01-02",0.547,1577935032000
"2020-01-02 03:32:12","2020-01-02",0.544,1577935932000
"2020-01-02 03:47:12","2020-01-02",0.556,1577936832000
"2020-01-02 04:02:12","2020-01-02",0.542,1577937732000
"2020-01-02 04:17:12","2020-01-02",0.552,1577938632000
"2020-01-02 04:32:12","2020-01-02",0.559,1577939532000
"2020-01-02 04:47:12","2020-01-02",0.546,1577940432000
"2020-01-02 05:02:12","2020-01-02",0.557,1577941332000
"2020-01-02 05:17:12","2020-01-02",0.543,1577942232000
"2020-01-02 05:32:12","2020-01-02",0.547,1577943132000
"2020-01-02 05:47:12","2020-01-02",0.543,1577944032000
"2020-01-02 06:02:12","2020-01-02",0.552,1577944932000
"2020-01-02 06:17:12","2020-01-02",0.566,1577945832000
"2020-01-02 06:32:12","2020-01-02",0.564,1577946732000
"2020-01-02 06:47:12","2020-01-02",0.577,1577947632000
"2020-01-02 07:02:12","2020-01-02",0.598,1577948532000
"2020-01-02 07:17:12","2020-01-02",0.567,1577949432000
"2020-01-02 07:32:12","2020-01-02",0.547,1577950332000
"2020-01-02 07:47:12","2020-01-02",0.524,1577951232000
"2020-01-02 08:02:12","2020-01-02",0.51,1577952132000
"2020-01-02 08:17:12","2020-01-02",0.507,1577953032000
"2020-01-02 08:32:12","2020-01-02",0.508,1577953932000
"2020-01-02 08:47:12","2020-01-02",0.509,1577954832000
"2020-01-02 09:02:11","2020-01-02",0.511,1577955731000
