"datetime","date","cond-i-subdaily-mS","epoch"
"2021-01-02 00:01:58","2021-01-02",6.786,1609545718000
"2021-01-02 00:16:58","2021-01-02",7.702,1609546618000
"2021-01-02 00:31:58","2021-01-02",8.052,1609547518000
"2021-01-02 00:46:58","2021-01-02",8.305,1609548418000
"2021-01-02 01:01:58","2021-01-02",9.397,1609549318000
"2021-01-02 01:16:58","2021-01-02",9.346,1609550218000
"2021-01-02 01:31:58","2021-01-02",10.52,1609551118000
"2021-01-02 01:46:58","2021-01-02",10.69,1609552018000
"2021-01-02 02:01:59","2021-01-02",10.52,1609552919000
"2021-01-02 02:16:58","2021-01-02",9.988,1609553818000
"2021-01-02 02:31:59","2021-01-02",10.38,1609554719000
"2021-01-02 02:46:59","2021-01-02",11.85,1609555619000
"2021-01-02 03:01:58","2021-01-02",13.02,1609556518000
"2021-01-02 03:16:58","2021-01-02",12.97,1609557418000
"2021-01-02 03:31:58","2021-01-02",13.44,1609558318000
"2021-01-02 03:46:57","2021-01-02",13.48,1609559217000
"2021-01-02 04:01:58","2021-01-02",12.79,1609560118000
"2021-01-02 04:16:58","2021-01-02",12.37,1609561018000
"2021-01-02 04:31:58","2021-01-02",11.42,1609561918000
"2021-01-02 04:46:58","2021-01-02",10.16,1609562818000
"2021-01-02 05:01:58","2021-01-02",9.176,1609563718000
"2021-01-02 05:16:58","2021-01-02",8.169,1609564618000
"2021-01-02 05:31:58","2021-01-02",7.379,1609565518000
"2021-01-02 05:46:57","2021-01-02",6.869,1609566417000
"2021-01-02 06:01:58","2021-01-02",6.42,1609567318000
"2021-01-02 06:16:58","2021-01-02",6.395,1609568218000
"2021-01-02 06:31:58","2021-01-02",5.825,1609569118000
"2021-01-02 06:46:58","2021-01-02",5.153,1609570018000
"2021-01-02 07:01:58","2021-01-02",4.822,1609570918000
"2021-01-02 07:16:58","2021-01-02",4.223,1609571818000
"2021-01-02 07:31:58","2021-01-02",3.692,1609572718000
"2021-01-02 07:46:59","2021-01-02",3.489,1609573619000
"2021-01-02 08:01:58","2021-01-02",2.884,1609574518000
"2021-01-02 08:16:59","2021-01-02",2.417,1609575419000
"2021-01-02 08:31:59","2021-01-02",2.41,1609576319000
"2021-01-02 08:46:59","2021-01-02",2.16,1609577219000
"2021-01-02 09:01:58","2021-01-02",1.978,1609578118000
"2021-01-02 09:16:58","2021-01-02",1.755,1609579018000
"2021-01-02 09:31:58","2021-01-02",1.611,1609579918000
"2021-01-02 09:46:58","2021-01-02",1.622,1609580818000
"2021-01-02 10:01:58","2021-01-02",1.675,1609581718000
"2021-01-02 10:16:58","2021-01-02",1.58,1609582618000
"2021-01-02 10:31:59","2021-01-02",1.464,1609583519000
"2021-01-02 10:46:59","2021-01-02",1.581,1609584419000
"2021-01-02 11:01:59","2021-01-02",2.043,1609585319000
"2021-01-02 11:16:59","2021-01-02",2.139,1609586219000
"2021-01-02 11:31:58","2021-01-02",2.501,1609587118000
"2021-01-02 11:46:58","2021-01-02",3.895,1609588018000
"2021-01-02 12:01:57","2021-01-02",4.654,1609588917000
"2021-01-02 12:16:58","2021-01-02",5.37,1609589818000
"2021-01-02 12:31:58","2021-01-02",6.045,1609590718000
"2021-01-02 12:46:58","2021-01-02",7.001,1609591618000
"2021-01-02 13:01:59","2021-01-02",7.327,1609592519000
"2021-01-02 13:16:58","2021-01-02",8.133,1609593418000
"2021-01-02 13:31:58","2021-01-02",8.525,1609594318000
"2021-01-02 13:46:58","2021-01-02",9.529,1609595218000
"2021-01-02 14:01:58","2021-01-02",10.4,1609596118000
"2021-01-02 14:16:57","2021-01-02",11.03,1609597017000
"2021-01-02 14:31:57","2021-01-02",10.5,1609597917000
"2021-01-02 14:46:57","2021-01-02",11.3,1609598817000
"2021-01-02 15:01:57","2021-01-02",11.27,1609599717000
"2021-01-02 15:16:58","2021-01-02",12.1,1609600618000
"2021-01-02 15:31:58","2021-01-02",13.9,1609601518000
"2021-01-02 15:46:59","2021-01-02",12.85,1609602419000
"2021-01-02 16:01:58","2021-01-02",13.73,1609603318000
"2021-01-02 16:16:57","2021-01-02",13.41,1609604217000
"2021-01-02 16:31:58","2021-01-02",12.93,1609605118000
"2021-01-02 16:46:57","2021-01-02",11.93,1609606017000
"2021-01-02 17:01:57","2021-01-02",10.54,1609606917000
"2021-01-02 17:16:58","2021-01-02",9.817,1609607818000
"2021-01-02 17:31:58","2021-01-02",9.025,1609608718000
"2021-01-02 17:46:57","2021-01-02",7.904,1609609617000
"2021-01-02 18:01:57","2021-01-02",7.505,1609610517000
"2021-01-02 18:16:58","2021-01-02",6.864,1609611418000
"2021-01-02 18:31:58","2021-01-02",6.726,1609612318000
"2021-01-02 18:46:58","2021-01-02",6.223,1609613218000
"2021-01-02 19:01:58","2021-01-02",5.667,1609614118000
"2021-01-02 19:16:58","2021-01-02",5.127,1609615018000
"2021-01-02 19:31:58","2021-01-02",4.68,1609615918000
"2021-01-02 19:46:58","2021-01-02",4.243,1609616818000
"2021-01-02 20:01:58","2021-01-02",3.675,1609617718000
"2021-01-02 20:16:59","2021-01-02",3.365,1609618619000
"2021-01-02 20:31:58","2021-01-02",2.888,1609619518000
"2021-01-02 20:46:58","2021-01-02",2.495,1609620418000
"2021-01-02 21:01:58","2021-01-02",2.285,1609621318000
"2021-01-02 21:16:58","2021-01-02",2.024,1609622218000
"2021-01-02 21:31:59","2021-01-02",1.995,1609623119000
"2021-01-02 21:46:58","2021-01-02",1.788,1609624018000
"2021-01-02 22:01:58","2021-01-02",1.762,1609624918000
"2021-01-02 22:16:58","2021-01-02",1.777,1609625818000
"2021-01-02 22:31:58","2021-01-02",1.79,1609626718000
"2021-01-02 22:46:58","2021-01-02",1.797,1609627618000
"2021-01-02 23:01:58","2021-01-02",2.116,1609628518000
"2021-01-02 23:16:58","2021-01-02",2.42,1609629418000
"2021-01-02 23:31:58","2021-01-02",2.857,1609630318000
"2021-01-02 23:46:58","2021-01-02",3.993,1609631218000
"2021-01-03 00:01:58","2021-01-03",4.867,1609632118000
"2021-01-03 00:16:58","2021-01-03",5.871,1609633018000
"2021-01-03 00:31:57","2021-01-03",6.602,1609633917000
"2021-01-03 00:46:58","2021-01-03",7.176,1609634818000
"2021-01-03 01:01:58","2021-01-03",7.486,1609635718000
"2021-01-03 01:16:57","2021-01-03",8.545,1609636617000
"2021-01-03 01:31:58","2021-01-03",8.774,1609637518000
"2021-01-03 01:46:58","2021-01-03",9.35,1609638418000
"2021-01-03 02:01:58","2021-01-03",9.999,1609639318000
"2021-01-03 02:16:58","2021-01-03",9.495,1609640218000
"2021-01-03 02:31:58","2021-01-03",10.43,1609641118000
"2021-01-03 02:46:58","2021-01-03",9.792,1609642018000
"2021-01-03 03:01:58","2021-01-03",10.8,1609642918000
"2021-01-03 03:16:59","2021-01-03",10.37,1609643819000
"2021-01-03 03:31:59","2021-01-03",11.47,1609644719000
"2021-01-03 03:46:58","2021-01-03",12.74,1609645618000
"2021-01-03 04:01:58","2021-01-03",12.38,1609646518000
"2021-01-03 04:16:59","2021-01-03",12.75,1609647419000
"2021-01-03 04:31:58","2021-01-03",12.94,1609648318000
"2021-01-03 04:46:58","2021-01-03",12.37,1609649218000
"2021-01-03 05:01:58","2021-01-03",11.84,1609650118000
"2021-01-03 05:16:59","2021-01-03",10.44,1609651019000
"2021-01-03 05:31:58","2021-01-03",9.245,1609651918000
"2021-01-03 05:46:58","2021-01-03",8.323,1609652818000
"2021-01-03 06:01:58","2021-01-03",7.937,1609653718000
"2021-01-03 06:16:58","2021-01-03",7.024,1609654618000
"2021-01-03 06:31:59","2021-01-03",6.661,1609655519000
"2021-01-03 06:46:58","2021-01-03",6.249,1609656418000
"2021-01-03 07:01:58","2021-01-03",6.124,1609657318000
"2021-01-03 07:16:58","2021-01-03",5.722,1609658218000
"2021-01-03 07:31:59","2021-01-03",4.899,1609659119000
"2021-01-03 07:46:58","2021-01-03",4.454,1609660018000
"2021-01-03 08:01:58","2021-01-03",4.387,1609660918000
"2021-01-03 08:16:58","2021-01-03",3.699,1609661818000
"2021-01-03 08:31:58","2021-01-03",3.277,1609662718000
"2021-01-03 08:46:58","2021-01-03",2.943,1609663618000
"2021-01-03 09:01:59","2021-01-03",2.488,1609664519000
"2021-01-03 09:16:58","2021-01-03",2.286,1609665418000
"2021-01-03 09:31:58","2021-01-03",1.937,1609666318000
"2021-01-03 09:46:58","2021-01-03",1.951,1609667218000
"2021-01-03 10:01:58","2021-01-03",1.698,1609668118000
"2021-01-03 10:16:59","2021-01-03",1.766,1609669019000
"2021-01-03 10:31:59","2021-01-03",1.804,1609669919000
"2021-01-03 10:46:58","2021-01-03",1.663,1609670818000
"2021-01-03 11:01:58","2021-01-03",1.585,1609671718000
"2021-01-03 11:16:58","2021-01-03",1.571,1609672618000
"2021-01-03 11:31:58","2021-01-03",1.704,1609673518000
"2021-01-03 11:46:58","2021-01-03",2.204,1609674418000
"2021-01-03 12:01:58","2021-01-03",2.348,1609675318000
"2021-01-03 12:16:58","2021-01-03",3.042,1609676218000
"2021-01-03 12:31:58","2021-01-03",3.894,1609677118000
"2021-01-03 12:46:58","2021-01-03",4.428,1609678018000
"2021-01-03 13:01:58","2021-01-03",5.161,1609678918000
"2021-01-03 13:16:58","2021-01-03",6.507,1609679818000
"2021-01-03 13:31:58","2021-01-03",6.9,1609680718000
"2021-01-03 13:46:58","2021-01-03",7.416,1609681618000
"2021-01-03 14:01:58","2021-01-03",8.464,1609682518000
"2021-01-03 14:16:59","2021-01-03",9.023,1609683419000
"2021-01-03 14:31:59","2021-01-03",9.959,1609684319000
"2021-01-03 14:46:58","2021-01-03",9.849,1609685218000
"2021-01-03 15:01:58","2021-01-03",10.68,1609686118000
"2021-01-03 15:16:59","2021-01-03",11.25,1609687019000
"2021-01-03 15:31:58","2021-01-03",10.96,1609687918000
"2021-01-03 15:46:58","2021-01-03",11.28,1609688818000
"2021-01-03 16:01:58","2021-01-03",11.24,1609689718000
"2021-01-03 16:16:58","2021-01-03",12.14,1609690618000
"2021-01-03 16:31:59","2021-01-03",12.48,1609691519000
"2021-01-03 16:46:58","2021-01-03",13.07,1609692418000
"2021-01-03 17:01:57","2021-01-03",13.18,1609693317000
"2021-01-03 17:16:57","2021-01-03",12.7,1609694217000
"2021-01-03 17:31:58","2021-01-03",11.76,1609695118000
