"datetime","date","cond-i-subdaily-mS","epoch"
"2022-01-02 00:01:12","2022-01-02",17.719,1641081672000
"2022-01-02 00:16:12","2022-01-02",19.258,1641082572000
"2022-01-02 00:31:12","2022-01-02",19.343,1641083472000
"2022-01-02 00:46:12","2022-01-02",20.95,1641084372000
"2022-01-02 01:01:12","2022-01-02",21.101,1641085272000
"2022-01-02 01:16:12","2022-01-02",21.196,1641086172000
"2022-01-02 01:31:12","2022-01-02",19.601,1641087072000
"2022-01-02 01:46:12","2022-01-02",18.611,1641087972000
"2022-01-02 02:01:12","2022-01-02",16.952,1641088872000
"2022-01-02 02:16:12","2022-01-02",16.429,1641089772000
"2022-01-02 02:31:12","2022-01-02",15.54,1641090672000
"2022-01-02 02:46:12","2022-01-02",14.19,1641091572000
"2022-01-02 03:01:12","2022-01-02",13.717,1641092472000
"2022-01-02 03:16:12","2022-01-02",13.287,1641093372000
"2022-01-02 03:31:12","2022-01-02",12.408,1641094272000
"2022-01-02 03:46:12","2022-01-02",11.956,1641095172000
"2022-01-02 04:01:12","2022-01-02",11.263,1641096072000
"2022-01-02 04:16:12","2022-01-02",10.241,1641096972000
"2022-01-02 04:31:12","2022-01-02",9.776,1641097872000
"2022-01-02 04:46:12","2022-01-02",9.085,1641098772000
"2022-01-02 05:01:12","2022-01-02",8.327,1641099672000
"2022-01-02 05:16:12","2022-01-02",7.825,1641100572000
"2022-01-02 05:31:12","2022-01-02",7.402,1641101472000
"2022-01-02 05:46:12","2022-01-02",7.067,1641102372000
"2022-01-02 06:01:12","2022-01-02",6.635,1641103272000
"2022-01-02 06:16:12","2022-01-02",6.396,1641104172000
"2022-01-02 06:31:12","2022-01-02",6.136,1641105072000
"2022-01-02 06:46:12","2022-01-02",5.906,1641105972000
"2022-01-02 07:01:12","2022-01-02",5.199,1641106872000
"2022-01-02 07:16:12","2022-01-02",5.787,1641107772000
"2022-01-02 07:31:12","2022-01-02",5.896,1641108672000
"2022-01-02 07:46:12","2022-01-02",6.586,1641109572000
"2022-01-02 08:01:12","2022-01-02",7.686,1641110472000
"2022-01-02 08:16:12","2022-01-02",7.848,1641111372000
"2022-01-02 08:31:12","2022-01-02",9.64,1641112272000
"2022-01-02 08:46:12","2022-01-02",10.136,1641113172000
"2022-01-02 09:01:12","2022-01-02",11.05,1641114072000
"2022-01-02 09:16:12","2022-01-02",12.228,1641114972000
"2022-01-02 09:31:12","2022-01-02",13.984,1641115872000
"2022-01-02 09:46:12","2022-01-02",15.335,1641116772000
"2022-01-02 10:01:12","2022-01-02",16.569,1641117672000
"2022-01-02 10:16:12","2022-01-02",16.392,1641118572000
"2022-01-02 10:31:12","2022-01-02",17.864,1641119472000
"2022-01-02 10:46:12","2022-01-02",18.068,1641120372000
"2022-01-02 11:01:12","2022-01-02",18.037,1641121272000
"2022-01-02 11:16:12","2022-01-02",17.801,1641122172000
"2022-01-02 11:31:12","2022-01-02",17.438,1641123072000
"2022-01-02 11:46:12","2022-01-02",18.412,1641123972000
"2022-01-02 12:01:12","2022-01-02",18.494,1641124872000
"2022-01-02 12:16:12","2022-01-02",19.32,1641125772000
"2022-01-02 12:31:12","2022-01-02",20.442,1641126672000
"2022-01-02 12:46:12","2022-01-02",21.124,1641127572000
"2022-01-02 13:01:12","2022-01-02",21.9,1641128472000
"2022-01-02 13:16:12","2022-01-02",22.522,1641129372000
"2022-01-02 13:31:12","2022-01-02",21.944,1641130272000
"2022-01-02 13:46:12","2022-01-02",21.124,1641131172000
"2022-01-02 14:01:12","2022-01-02",20.263,1641132072000
"2022-01-02 14:16:12","2022-01-02",18.672,1641132972000
"2022-01-02 14:31:12","2022-01-02",17.881,1641133872000
"2022-01-02 14:46:12","2022-01-02",16.957,1641134772000
"2022-01-02 15:01:12","2022-01-02",16.289,1641135672000
"2022-01-02 15:16:12","2022-01-02",15.475,1641136572000
"2022-01-02 15:31:12","2022-01-02",15.031,1641137472000
"2022-01-02 15:46:12","2022-01-02",14.231,1641138372000
"2022-01-02 16:01:12","2022-01-02",13.575,1641139272000
"2022-01-02 16:16:12","2022-01-02",12.456,1641140172000
"2022-01-02 16:31:12","2022-01-02",11.637,1641141072000
"2022-01-02 16:46:12","2022-01-02",10.767,1641141972000
"2022-01-02 17:01:12","2022-01-02",10.289,1641142872000
"2022-01-02 17:16:12","2022-01-02",9.638,1641143772000
"2022-01-02 17:31:12","2022-01-02",9.148,1641144672000
"2022-01-02 17:46:12","2022-01-02",8.724,1641145572000
"2022-01-02 18:01:12","2022-01-02",8.438,1641146472000
"2022-01-02 18:16:13","2022-01-02",7.889,1641147373000
"2022-01-02 18:31:12","2022-01-02",7.622,1641148272000
"2022-01-02 18:46:12","2022-01-02",7.128,1641149172000
"2022-01-02 19:01:12","2022-01-02",6.678,1641150072000
"2022-01-02 19:16:12","2022-01-02",6.499,1641150972000
"2022-01-02 19:31:12","2022-01-02",6.186,1641151872000
"2022-01-02 19:46:12","2022-01-02",5.692,1641152772000
"2022-01-02 20:01:12","2022-01-02",6.016,1641153672000
"2022-01-02 20:16:12","2022-01-02",5.857,1641154572000
"2022-01-02 20:31:12","2022-01-02",6.589,1641155472000
"2022-01-02 20:46:12","2022-01-02",7.823,1641156372000
"2022-01-02 21:01:12","2022-01-02",7.997,1641157272000
"2022-01-02 21:16:12","2022-01-02",8.974,1641158172000
"2022-01-02 21:31:12","2022-01-02",10.081,1641159072000
"2022-01-02 21:46:12","2022-01-02",10.861,1641159972000
"2022-01-02 22:01:12","2022-01-02",12.513,1641160872000
"2022-01-02 22:16:12","2022-01-02",13.461,1641161772000
"2022-01-02 22:31:12","2022-01-02",14.984,1641162672000
"2022-01-02 22:46:12","2022-01-02",15.478,1641163572000
"2022-01-02 23:01:12","2022-01-02",16.395,1641164472000
"2022-01-02 23:16:12","2022-01-02",17.565,1641165372000
"2022-01-02 23:31:12","2022-01-02",17.458,1641166272000
"2022-01-02 23:46:12","2022-01-02",17.975,1641167172000
"2022-01-03 00:01:12","2022-01-03",17.523,1641168072000
"2022-01-03 00:16:12","2022-01-03",18.831,1641168972000
