"datetime","date","cond-i-subdaily-mS","epoch"
"2020-01-02 00:01:59","2020-01-02",2.602,1577923319000
"2020-01-02 00:17:00","2020-01-02",2.83,1577924220000
"2020-01-02 00:32:00","2020-01-02",3.193,1577925120000
"2020-01-02 00:46:59","2020-01-02",3.572,1577926019000
"2020-01-02 01:01:59","2020-01-02",3.713,1577926919000
"2020-01-02 01:16:59","2020-01-02",4.251,1577927819000
"2020-01-02 01:31:59","2020-01-02",5.083,1577928719000
"2020-01-02 01:46:59","2020-01-02",5.302,1577929619000
"2020-01-02 02:01:59","2020-01-02",5.739,1577930519000
"2020-01-02 02:17:00","2020-01-02",6.257,1577931420000
"2020-01-02 02:31:59","2020-01-02",7.466,1577932319000
"2020-01-02 02:46:59","2020-01-02",8.025,1577933219000
"2020-01-02 03:01:59","2020-01-02",8.41,1577934119000
"2020-01-02 03:17:00","2020-01-02",8.798,1577935020000
"2020-01-02 03:31:59","2020-01-02",9.236,1577935919000
"2020-01-02 03:46:59","2020-01-02",9.434,1577936819000
"2020-01-02 04:01:59","2020-01-02",9.741,1577937719000
"2020-01-02 04:16:59","2020-01-02",11.08,1577938619000
"2020-01-02 04:31:59","2020-01-02",10.97,1577939519000
"2020-01-02 04:46:59","2020-01-02",11.08,1577940419000
"2020-01-02 05:01:59","2020-01-02",11.59,1577941319000
"2020-01-02 05:17:00","2020-01-02",12.02,1577942220000
"2020-01-02 05:31:59","2020-01-02",12.41,1577943119000
"2020-01-02 05:46:59","2020-01-02",11.82,1577944019000
"2020-01-02 06:01:59","2020-01-02",12.45,1577944919000
"2020-01-02 06:16:59","2020-01-02",12.34,1577945819000
"2020-01-02 06:32:00","2020-01-02",11.66,1577946720000
"2020-01-02 06:46:59","2020-01-02",11.13,1577947619000
"2020-01-02 07:01:59","2020-01-02",9.903,1577948519000
"2020-01-02 07:16:59","2020-01-02",8.769,1577949419000
"2020-01-02 07:31:59","2020-01-02",8.72,1577950319000
"2020-01-02 07:46:59","2020-01-02",7.878,1577951219000
"2020-01-02 08:01:59","2020-01-02",7.58,1577952119000
"2020-01-02 08:16:59","2020-01-02",6.915,1577953019000
"2020-01-02 08:31:59","2020-01-02",6.095,1577953919000
"2020-01-02 08:46:59","2020-01-02",5.741,1577954819000
"2020-01-02 09:01:59","2020-01-02",5.546,1577955719000
"2020-01-02 09:16:58","2020-01-02",4.903,1577956618000
"2020-01-02 09:31:58","2020-01-02",4.489,1577957518000
"2020-01-02 09:46:58","2020-01-02",4.411,1577958418000
"2020-01-02 10:01:59","2020-01-02",4.027,1577959319000
"2020-01-02 10:16:58","2020-01-02",3.663,1577960218000
"2020-01-02 10:31:59","2020-01-02",3.207,1577961119000
"2020-01-02 10:46:58","2020-01-02",3.014,1577962018000
"2020-01-02 11:01:58","2020-01-02",2.77,1577962918000
"2020-01-02 11:16:58","2020-01-02",2.409,1577963818000
"2020-01-02 11:31:59","2020-01-02",2.298,1577964719000
"2020-01-02 11:46:58","2020-01-02",2.248,1577965618000
"2020-01-02 12:01:59","2020-01-02",2.42,1577966519000
"2020-01-02 12:16:59","2020-01-02",2.462,1577967419000
"2020-01-02 12:31:59","2020-01-02",2.387,1577968319000
"2020-01-02 12:46:59","2020-01-02",2.362,1577969219000
"2020-01-02 13:01:59","2020-01-02",2.399,1577970119000
"2020-01-02 13:16:59","2020-01-02",2.602,1577971019000
"2020-01-02 13:31:59","2020-01-02",2.842,1577971919000
"2020-01-02 13:46:59","2020-01-02",3.125,1577972819000
"2020-01-02 14:01:59","2020-01-02",3.205,1577973719000
"2020-01-02 14:16:59","2020-01-02",3.582,1577974619000
"2020-01-02 14:31:59","2020-01-02",4.22,1577975519000
"2020-01-02 14:46:59","2020-01-02",4.842,1577976419000
"2020-01-02 15:01:59","2020-01-02",5.036,1577977319000
"2020-01-02 15:16:59","2020-01-02",5.418,1577978219000
"2020-01-02 15:31:59","2020-01-02",5.943,1577979119000
"2020-01-02 15:46:59","2020-01-02",6.539,1577980019000
"2020-01-02 16:01:59","2020-01-02",7.816,1577980919000
"2020-01-02 16:17:00","2020-01-02",8.193,1577981820000
"2020-01-02 16:31:59","2020-01-02",8.6,1577982719000
"2020-01-02 16:46:59","2020-01-02",9.866,1577983619000
"2020-01-02 17:01:59","2020-01-02",10.26,1577984519000
"2020-01-02 17:17:00","2020-01-02",11.84,1577985420000
"2020-01-02 17:31:59","2020-01-02",12.3,1577986319000
"2020-01-02 17:46:59","2020-01-02",12.64,1577987219000
"2020-01-02 18:01:59","2020-01-02",12.59,1577988119000
"2020-01-02 18:16:59","2020-01-02",12.76,1577989019000
"2020-01-02 18:31:59","2020-01-02",13.84,1577989919000
"2020-01-02 18:46:59","2020-01-02",12.69,1577990819000
"2020-01-02 19:01:59","2020-01-02",12.84,1577991719000
"2020-01-02 19:16:59","2020-01-02",11.69,1577992619000
"2020-01-02 19:31:59","2020-01-02",10.59,1577993519000
"2020-01-02 19:47:00","2020-01-02",9.698,1577994420000
"2020-01-02 20:01:59","2020-01-02",9.197,1577995319000
"2020-01-02 20:16:59","2020-01-02",8.867,1577996219000
"2020-01-02 20:31:59","2020-01-02",8.341,1577997119000
"2020-01-02 20:46:59","2020-01-02",7.382,1577998019000
"2020-01-02 21:01:59","2020-01-02",6.505,1577998919000
"2020-01-02 21:16:59","2020-01-02",6.152,1577999819000
"2020-01-02 21:32:00","2020-01-02",5.76,1578000720000
"2020-01-02 21:46:59","2020-01-02",5.383,1578001619000
"2020-01-02 22:01:59","2020-01-02",4.844,1578002519000
"2020-01-02 22:16:59","2020-01-02",4.462,1578003419000
"2020-01-02 22:31:59","2020-01-02",4.116,1578004319000
"2020-01-02 22:47:00","2020-01-02",3.663,1578005220000
"2020-01-02 23:01:59","2020-01-02",3.479,1578006119000
