"datetime","date","level-i-900-m-qualified","epoch"
"2020-02-27 10:00:00","2020-02-27",0.353,1582797600000
"2020-02-27 10:15:00","2020-02-27",0.352,1582798500000
"2020-02-27 10:30:00","2020-02-27",0.362,1582799400000
"2020-02-27 10:45:00","2020-02-27",0.352,1582800300000
"2020-02-27 11:00:00","2020-02-27",0.353,1582801200000
"2020-02-27 11:15:00","2020-02-27",0.357,1582802100000
"2020-02-27 11:30:00","2020-02-27",0.35,1582803000000
"2020-02-27 11:45:00","2020-02-27",0.355,1582803900000
"2020-02-27 12:00:00","2020-02-27",0.35,1582804800000
"2020-02-27 12:15:00","2020-02-27",0.356,1582805700000
"2020-02-27 12:30:00","2020-02-27",0.361,1582806600000
"2020-02-27 12:45:00","2020-02-27",0.358,1582807500000
"2020-02-27 13:00:00","2020-02-27",0.355,1582808400000
"2020-02-27 13:15:00","2020-02-27",0.363,1582809300000
"2020-02-27 13:30:00","2020-02-27",0.36,1582810200000
"2020-02-27 13:45:00","2020-02-27",0.369,1582811100000
"2020-02-27 14:00:00","2020-02-27",0.361,1582812000000
"2020-02-27 14:15:00","2020-02-27",0.372,1582812900000
"2020-02-27 14:30:00","2020-02-27",0.36,1582813800000
"2020-02-27 14:45:00","2020-02-27",0.371,1582814700000
"2020-02-27 15:00:00","2020-02-27",0.364,1582815600000
"2020-02-27 15:15:00","2020-02-27",0.366,1582816500000
"2020-02-27 15:30:00","2020-02-27",0.361,1582817400000
"2020-02-27 15:45:00","2020-02-27",0.361,1582818300000
"2020-02-27 16:00:00","2020-02-27",0.377,1582819200000
"2020-02-27 16:15:00","2020-02-27",0.385,1582820100000
"2020-02-27 16:30:00","2020-02-27",0.388,1582821000000
"2020-02-27 16:45:00","2020-02-27",0.388,1582821900000
"2020-02-27 17:00:00","2020-02-27",0.396,1582822800000
"2020-02-27 17:15:00","2020-02-27",0.397,1582823700000
"2020-02-27 17:30:00","2020-02-27",0.387,1582824600000
"2020-02-27 17:45:00","2020-02-27",0.388,1582825500000
"2020-02-27 18:00:00","2020-02-27",0.386,1582826400000
"2020-02-27 18:15:00","2020-02-27",0.4,1582827300000
"2020-02-27 18:30:00","2020-02-27",0.39,1582828200000
"2020-02-27 18:45:00","2020-02-27",0.394,1582829100000
"2020-02-27 19:00:00","2020-02-27",0.392,1582830000000
"2020-02-27 19:15:00","2020-02-27",0.385,1582830900000
"2020-02-27 19:30:00","2020-02-27",0.386,1582831800000
"2020-02-27 19:45:00","2020-02-27",0.38,1582832700000
"2020-02-27 20:00:00","2020-02-27",0.389,1582833600000
"2020-02-27 20:15:00","2020-02-27",0.378,1582834500000
"2020-02-27 20:30:00","2020-02-27",0.388,1582835400000
"2020-02-27 20:45:00","2020-02-27",0.393,1582836300000
"2020-02-27 21:00:00","2020-02-27",0.386,1582837200000
"2020-02-27 21:15:00","2020-02-27",0.388,1582838100000
"2020-02-27 21:30:00","2020-02-27",0.383,1582839000000
"2020-02-27 21:45:00","2020-02-27",0.393,1582839900000
"2020-02-27 22:00:00","2020-02-27",0.389,1582840800000
"2020-02-27 22:15:00","2020-02-27",0.383,1582841700000
"2020-02-27 22:30:00","2020-02-27",0.367,1582842600000
"2020-02-27 22:45:00","2020-02-27",0.367,1582843500000
"2020-02-27 23:00:00","2020-02-27",0.357,1582844400000
"2020-02-27 23:15:00","2020-02-27",0.366,1582845300000
"2020-02-27 23:30:00","2020-02-27",0.36,1582846200000
"2020-02-27 23:45:00","2020-02-27",0.359,1582847100000
"2020-02-28 00:00:00","2020-02-28",0.366,1582848000000
"2020-02-28 00:15:00","2020-02-28",0.344,1582848900000
"2020-02-28 00:30:00","2020-02-28",0.347,1582849800000
"2020-02-28 00:45:00","2020-02-28",0.344,1582850700000
"2020-02-28 01:00:00","2020-02-28",0.345,1582851600000
"2020-02-28 01:15:00","2020-02-28",0.337,1582852500000
"2020-02-28 01:30:00","2020-02-28",0.347,1582853400000
"2020-02-28 01:45:00","2020-02-28",0.35,1582854300000
"2020-02-28 02:00:00","2020-02-28",0.334,1582855200000
"2020-02-28 02:15:00","2020-02-28",0.338,1582856100000
"2020-02-28 02:30:00","2020-02-28",0.345,1582857000000
"2020-02-28 02:45:00","2020-02-28",0.345,1582857900000
"2020-02-28 03:00:00","2020-02-28",0.342,1582858800000
"2020-02-28 03:15:00","2020-02-28",0.34,1582859700000
"2020-02-28 03:30:00","2020-02-28",0.338,1582860600000
"2020-02-28 03:45:00","2020-02-28",0.339,1582861500000
"2020-02-28 04:00:00","2020-02-28",0.327,1582862400000
"2020-02-28 04:15:00","2020-02-28",0.326,1582863300000
"2020-02-28 04:30:00","2020-02-28",0.329,1582864200000
"2020-02-28 04:45:00","2020-02-28",0.327,1582865100000
"2020-02-28 05:00:00","2020-02-28",0.326,1582866000000
"2020-02-28 05:15:00","2020-02-28",0.336,1582866900000
"2020-02-28 05:30:00","2020-02-28",0.333,1582867800000
"2020-02-28 05:45:00","2020-02-28",0.339,1582868700000
"2020-02-28 06:00:00","2020-02-28",0.329,1582869600000
"2020-02-28 06:15:00","2020-02-28",0.322,1582870500000
"2020-02-28 06:30:00","2020-02-28",0.328,1582871400000
"2020-02-28 06:45:00","2020-02-28",0.331,1582872300000
"2020-02-28 07:00:00","2020-02-28",0.324,1582873200000
"2020-02-28 07:15:00","2020-02-28",0.321,1582874100000
"2020-02-28 07:30:00","2020-02-28",0.323,1582875000000
"2020-02-28 07:45:00","2020-02-28",0.326,1582875900000
"2020-02-28 08:00:00","2020-02-28",0.327,1582876800000
"2020-02-28 08:15:00","2020-02-28",0.334,1582877700000
"2020-02-28 08:30:00","2020-02-28",0.33,1582878600000
"2020-02-28 08:45:00","2020-02-28",0.33,1582879500000
"2020-02-28 09:00:00","2020-02-28",0.327,1582880400000
"2020-02-28 09:15:00","2020-02-28",0.326,1582881300000
"2020-02-28 09:30:00","2020-02-28",0.33,1582882200000
"2020-02-28 09:45:00","2020-02-28",0.328,1582883100000
"2020-02-28 10:00:00","2020-02-28",0.328,1582884000000
"2020-02-28 10:15:00","2020-02-28",0.332,1582884900000
"2020-02-28 10:30:00","2020-02-28",0.331,1582885800000
"2020-02-28 10:45:00","2020-02-28",0.323,1582886700000
"2020-02-28 11:00:00","2020-02-28",0.315,1582887600000
"2020-02-28 11:15:00","2020-02-28",0.323,1582888500000
"2020-02-28 11:30:00","2020-02-28",0.315,1582889400000
"2020-02-28 11:45:00","2020-02-28",0.323,1582890300000
"2020-02-28 12:00:00","2020-02-28",0.327,1582891200000
"2020-02-28 12:15:00","2020-02-28",0.332,1582892100000
"2020-02-28 12:30:00","2020-02-28",0.345,1582893000000
"2020-02-28 12:45:00","2020-02-28",0.333,1582893900000
"2020-02-28 13:00:00","2020-02-28",0.343,1582894800000
"2020-02-28 13:15:00","2020-02-28",0.342,1582895700000
"2020-02-28 13:30:00","2020-02-28",0.344,1582896600000
"2020-02-28 13:45:00","2020-02-28",0.34,1582897500000
"2020-02-28 14:00:00","2020-02-28",0.333,1582898400000
"2020-02-28 14:15:00","2020-02-28",0.333,1582899300000
"2020-02-28 14:30:00","2020-02-28",0.33,1582900200000
"2020-02-28 14:45:00","2020-02-28",0.335,1582901100000
"2020-02-28 15:00:00","2020-02-28",0.335,1582902000000
"2020-02-28 15:15:00","2020-02-28",0.339,1582902900000
"2020-02-28 15:30:00","2020-02-28",0.339,1582903800000
"2020-02-28 15:45:00","2020-02-28",0.358,1582904700000
"2020-02-28 16:00:00","2020-02-28",0.337,1582905600000
"2020-02-28 16:15:00","2020-02-28",0.357,1582906500000
"2020-02-28 16:30:00","2020-02-28",0.366,1582907400000
"2020-02-28 16:45:00","2020-02-28",0.359,1582908300000
"2020-02-28 17:00:00","2020-02-28",0.365,1582909200000
"2020-02-28 17:15:00","2020-02-28",0.37,1582910100000
"2020-02-28 17:30:00","2020-02-28",0.375,1582911000000
"2020-02-28 17:45:00","2020-02-28",0.376,1582911900000
"2020-02-28 18:00:00","2020-02-28",0.38,1582912800000
"2020-02-28 18:15:00","2020-02-28",0.365,1582913700000
"2020-02-28 18:30:00","2020-02-28",0.368,1582914600000
