"datetime","date","do-i-subdaily-mgL","epoch"
"2022-01-02 22:32:12","2022-01-02",10.68,1641162732000
"2022-01-02 22:47:12","2022-01-02",10.64,1641163632000
"2022-01-02 23:02:15","2022-01-02",10.69,1641164535000
"2022-01-02 23:17:12","2022-01-02",10.69,1641165432000
"2022-01-02 23:32:14","2022-01-02",10.67,1641166334000
"2022-01-02 23:47:12","2022-01-02",10.63,1641167232000
"2022-01-03 00:02:12","2022-01-03",10.57,1641168132000
"2022-01-03 00:17:12","2022-01-03",10.54,1641169032000
"2022-01-03 00:32:15","2022-01-03",10.52,1641169935000
"2022-01-03 00:47:12","2022-01-03",10.51,1641170832000
"2022-01-03 01:02:12","2022-01-03",10.5,1641171732000
"2022-01-03 01:17:12","2022-01-03",10.49,1641172632000
"2022-01-03 01:32:12","2022-01-03",10.46,1641173532000
"2022-01-03 01:47:12","2022-01-03",10.46,1641174432000
"2022-01-03 02:02:12","2022-01-03",10.45,1641175332000
"2022-01-03 02:17:14","2022-01-03",10.45,1641176234000
"2022-01-03 02:32:12","2022-01-03",10.46,1641177132000
"2022-01-03 02:47:12","2022-01-03",10.45,1641178032000
"2022-01-03 03:02:12","2022-01-03",10.45,1641178932000
"2022-01-03 03:17:12","2022-01-03",10.47,1641179832000
"2022-01-03 03:32:12","2022-01-03",10.47,1641180732000
"2022-01-03 03:47:12","2022-01-03",10.48,1641181632000
"2022-01-03 04:02:12","2022-01-03",10.48,1641182532000
"2022-01-03 04:17:12","2022-01-03",10.5,1641183432000
"2022-01-03 04:32:12","2022-01-03",10.53,1641184332000
"2022-01-03 04:47:12","2022-01-03",10.55,1641185232000
"2022-01-03 05:02:12","2022-01-03",10.57,1641186132000
"2022-01-03 05:17:12","2022-01-03",10.56,1641187032000
"2022-01-03 05:32:13","2022-01-03",10.57,1641187933000
"2022-01-03 05:47:12","2022-01-03",10.6,1641188832000
"2022-01-03 06:02:12","2022-01-03",10.63,1641189732000
"2022-01-03 06:17:12","2022-01-03",10.59,1641190632000
"2022-01-03 06:32:12","2022-01-03",10.54,1641191532000
"2022-01-03 06:47:12","2022-01-03",10.51,1641192432000
"2022-01-03 07:02:12","2022-01-03",10.53,1641193332000
"2022-01-03 07:17:12","2022-01-03",10.57,1641194232000
"2022-01-03 07:47:12","2022-01-03",10.66,1641196032000
"2022-01-03 08:02:12","2022-01-03",10.7,1641196932000
"2022-01-03 08:17:13","2022-01-03",10.72,1641197833000
"2022-01-03 08:32:12","2022-01-03",10.74,1641198732000
"2022-01-03 08:47:12","2022-01-03",10.76,1641199632000
"2022-01-03 09:02:14","2022-01-03",10.75,1641200534000
"2022-01-03 09:17:12","2022-01-03",10.75,1641201432000
"2022-01-03 09:32:12","2022-01-03",10.74,1641202332000
"2022-01-03 09:47:12","2022-01-03",10.72,1641203232000
"2022-01-03 10:02:12","2022-01-03",10.73,1641204132000
"2022-01-03 10:17:12","2022-01-03",10.74,1641205032000
"2022-01-03 10:32:12","2022-01-03",10.76,1641205932000
"2022-01-03 10:47:12","2022-01-03",10.7,1641206832000
"2022-01-03 11:02:12","2022-01-03",10.71,1641207732000
"2022-01-03 11:17:12","2022-01-03",10.69,1641208632000
"2022-01-03 11:32:12","2022-01-03",10.69,1641209532000
"2022-01-03 11:47:12","2022-01-03",10.69,1641210432000
"2022-01-03 12:02:12","2022-01-03",10.67,1641211332000
"2022-01-03 12:17:12","2022-01-03",10.6,1641212232000
"2022-01-03 12:32:12","2022-01-03",10.5,1641213132000
"2022-01-03 12:47:12","2022-01-03",10.45,1641214032000
"2022-01-03 13:02:12","2022-01-03",10.45,1641214932000
"2022-01-03 13:17:13","2022-01-03",10.45,1641215833000
"2022-01-03 13:32:14","2022-01-03",10.45,1641216734000
"2022-01-03 13:47:13","2022-01-03",10.44,1641217633000
"2022-01-03 14:02:12","2022-01-03",10.42,1641218532000
"2022-01-03 14:17:12","2022-01-03",10.42,1641219432000
"2022-01-03 14:32:12","2022-01-03",10.42,1641220332000
"2022-01-03 14:47:12","2022-01-03",10.4,1641221232000
"2022-01-03 15:02:12","2022-01-03",10.4,1641222132000
"2022-01-03 15:17:12","2022-01-03",10.4,1641223032000
"2022-01-03 15:32:12","2022-01-03",10.4,1641223932000
"2022-01-03 15:47:12","2022-01-03",10.41,1641224832000
"2022-01-03 16:02:12","2022-01-03",10.41,1641225732000
"2022-01-03 16:17:11","2022-01-03",10.41,1641226631000
"2022-01-03 16:32:12","2022-01-03",10.39,1641227532000
"2022-01-03 16:47:12","2022-01-03",10.4,1641228432000
"2022-01-03 17:02:12","2022-01-03",10.45,1641229332000
"2022-01-03 17:17:12","2022-01-03",10.49,1641230232000
"2022-01-03 17:32:12","2022-01-03",10.53,1641231132000
"2022-01-03 17:47:12","2022-01-03",10.57,1641232032000
"2022-01-03 18:02:12","2022-01-03",10.62,1641232932000
"2022-01-03 18:17:12","2022-01-03",10.67,1641233832000
"2022-01-03 18:32:12","2022-01-03",10.71,1641234732000
"2022-01-03 18:47:12","2022-01-03",10.68,1641235632000
"2022-01-03 19:02:12","2022-01-03",10.65,1641236532000
"2022-01-03 19:17:12","2022-01-03",10.63,1641237432000
"2022-01-03 19:32:12","2022-01-03",10.64,1641238332000
"2022-01-03 19:47:12","2022-01-03",10.67,1641239232000
"2022-01-03 20:02:12","2022-01-03",10.69,1641240132000
"2022-01-03 20:17:13","2022-01-03",10.75,1641241033000
"2022-01-03 20:32:12","2022-01-03",10.77,1641241932000
"2022-01-03 20:47:12","2022-01-03",10.8,1641242832000
"2022-01-03 21:02:12","2022-01-03",10.81,1641243732000
"2022-01-03 21:17:12","2022-01-03",10.83,1641244632000
"2022-01-03 21:32:12","2022-01-03",10.81,1641245532000
"2022-01-03 21:47:13","2022-01-03",10.79,1641246433000
"2022-01-03 22:02:14","2022-01-03",10.79,1641247334000
"2022-01-03 22:17:12","2022-01-03",10.78,1641248232000
"2022-01-03 22:32:12","2022-01-03",10.8,1641249132000
"2022-01-03 22:47:12","2022-01-03",10.79,1641250032000
"2022-01-03 23:02:12","2022-01-03",10.78,1641250932000
"2022-01-03 23:17:12","2022-01-03",10.78,1641251832000
"2022-01-03 23:32:12","2022-01-03",10.77,1641252732000
"2022-01-03 23:47:12","2022-01-03",10.77,1641253632000
"2022-01-04 00:02:12","2022-01-04",10.72,1641254532000
"2022-01-04 00:17:12","2022-01-04",10.64,1641255432000
"2022-01-04 00:32:13","2022-01-04",10.57,1641256333000
"2022-01-04 00:47:12","2022-01-04",10.52,1641257232000
"2022-01-04 01:02:14","2022-01-04",10.5,1641258134000
"2022-01-04 01:17:12","2022-01-04",10.48,1641259032000
"2022-01-04 01:32:12","2022-01-04",10.44,1641259932000
"2022-01-04 01:47:12","2022-01-04",10.4,1641260832000
"2022-01-04 02:02:14","2022-01-04",10.36,1641261734000
"2022-01-04 02:17:12","2022-01-04",10.34,1641262632000
"2022-01-04 02:32:14","2022-01-04",10.31,1641263534000
"2022-01-04 02:47:12","2022-01-04",10.31,1641264432000
"2022-01-04 03:02:12","2022-01-04",10.37,1641265332000
"2022-01-04 03:17:12","2022-01-04",10.3,1641266232000
"2022-01-04 03:32:12","2022-01-04",10.31,1641267132000
"2022-01-04 03:47:14","2022-01-04",10.32,1641268034000
"2022-01-04 04:02:12","2022-01-04",10.34,1641268932000
"2022-01-04 04:17:12","2022-01-04",10.36,1641269832000
"2022-01-04 04:32:12","2022-01-04",10.39,1641270732000
